Primary Racial/Ethnic Composition,United States,Canada,Total,% of Total
Asian-descent or Pacific Islander,12,2,14,5%
"Black (Non-Hispanic), African American,
African Canadian",21,0,21,8%
"Hispanic, Latino(a), Latin@",11,0,11,4%
"Indigenous, Native North American, First Nation",0,1,1,0%
"White (Non-Hispanic), Caucasian",152,19,171,61%
Multiracial,20,1,21,8%
Not Available,20,13,33,12%
TOTAL,244,36,280,100%
