All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Graduate Studies,,,
Number,3,1,14
Average Salary,-,-,86360
Median Salary,-,-,87550
Average Salary and Housing,-,-,86360
Average Benefits,-,-,13499
Average Pension,-,-,6459
Total Average,-,-,106318
25th percentile,-,-,101851
Median,-,-,111515
75th percentile,-,-,127830
Director of Housing/Student Life,,,
Number,6,4,7
Average Salary,80190,-,82706
Median Salary,63240,-,72200
Average Salary and Housing,80190,-,82706
Average Benefits,1581,-,20578
Average Pension,2096,-,8953
Total Average,83867,-,112237
25th percentile,56778,-,67115
Median,75603,-,88940
75th percentile,99080,-,136342
Director of Institutional Effectiveness,,,
Number,2,2,5
Average Salary,-,-,88975
Median Salary,-,-,83000
Average Salary and Housing,-,-,88975
Average Benefits,-,-,16624
Average Pension,-,-,8441
Total Average,-,-,114040
25th percentile,-,-,90459
Median,-,-,100942
75th percentile,-,-,118921
