Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, Canada",,,,,,
Expenditures,,2020-21,2021-22,2022-23,2023-24,2024-25
,Instruction,8531,9124,10644,10551,10413
,Research,7,63,114,176,188
,Public Service,154,200,289,232,227
,Library,1067,1113,1264,1183,1148
,Academic Support,487,460,732,759,990
,Student Services,364,412,596,689,728
,Admissions,832,907,1064,1194,1107
,Institutional Support,5023,5087,6109,5984,5912
,Operation and Maintenance of Plant,3783,3809,4702,4793,4273
,Scholarships and Fellowships,1756,1760,1920,1924,1867
,Auxiliary Enterprises,1297,1572,1997,2035,1839
,Total Expenditures,23300,24508,29431,29519,28692
"Full-time Equivalent Student, Canada",,,,,,
Expenditures,,2020-21,2021-22,2022-23,2023-24,2024-25
,Instruction,15767,16837,20524,19124,18410
,Research,12,117,220,319,332
,Public Service,285,370,557,420,401
,Library,1972,2054,2438,2144,2030
,Academic Support,900,849,1412,1376,1750
,Student Services,673,761,1150,1248,1287
,Admissions,1538,1674,2051,2164,1957
,Institutional Support,9283,9387,11780,10845,10453
,Operation and Maintenance of Plant,6991,7029,9066,8687,7555
,Scholarships and Fellowships,3245,3247,3703,3488,3301
,Auxiliary Enterprises,2398,2901,3850,3688,3251
,Total Expenditures,43064,45227,56751,53502,50727
