All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2021,,,2022,,,2023,,,2024,,,2025,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,75,21,0,84,21,0,79,21,0,86,19,0,84,15,0
,Associate Professor,63,26,0,61,28,0,59,26,1,60,26,1,65,28,1
,Assistant Professor,52,29,2,59,35,2,49,35,0,59,39,0,56,35,0
,Others,12,6,1,11,5,1,17,5,1,19,2,1,15,3,1
,Total,202,82,3,215,89,3,204,87,2,224,86,2,220,81,2
"Black (Non-
Hispanic)",Professor,62,24,0,65,32,0,66,31,0,65,29,0,61,29,0
,Associate Professor,56,36,0,56,37,0,48,35,0,47,37,0,55,40,0
,Assistant Professor,47,46,2,54,48,1,47,52,0,51,48,0,52,43,0
,Others,9,7,0,10,8,0,15,3,0,17,4,0,17,5,0
,Total,174,113,2,185,125,1,176,121,0,180,118,0,185,117,0
Hispanic,Professor,37,10,0,45,11,0,38,10,0,43,9,0,40,10,0
,Associate Professor,48,5,0,42,5,0,37,5,0,33,8,0,40,11,0
,Assistant Professor,27,17,1,35,16,0,41,19,0,46,19,0,42,19,0
,Others,10,6,0,11,11,0,7,5,0,5,6,0,1,5,0
,Total,122,38,1,133,43,0,123,39,0,127,42,0,123,45,0
Indigenous,Professor,1,1,0,2,1,0,3,0,0,3,0,0,3,0,0
,Associate Professor,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
,Assistant Professor,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,Others,2,2,0,1,2,0,1,0,0,1,0,0,1,0,0
,Total,5,3,0,5,3,0,5,1,0,4,1,0,4,0,0
"White (Non-
Hispanic)",Professor,924,198,1,894,196,0,817,186,0,795,182,0,768,170,0
,Associate Professor,464,161,2,437,157,1,383,145,2,379,140,1,364,144,1
,Assistant Professor,257,134,1,265,149,2,227,132,1,222,137,1,235,136,1
,Others,123,47,4,109,40,2,75,42,0,65,43,0,53,41,0
,Total,1768,540,8,1705,542,5,1502,505,3,1461,502,2,1420,491,2
Multiracial,Professor,5,2,0,5,2,0,1,1,0,2,1,0,3,2,0
,Associate Professor,5,4,0,6,4,0,5,3,0,6,4,1,2,4,1
,Assistant Professor,2,2,0,3,3,0,4,4,1,2,4,0,2,3,0
,Others,0,1,0,2,2,0,1,0,0,1,0,0,2,0,0
,Total,12,9,0,16,11,0,11,8,1,11,9,1,9,9,1
Not Available,Professor,41,10,2,40,14,2,46,11,4,45,11,5,38,9,5
,Associate Professor,42,14,3,47,22,3,42,22,6,37,23,3,34,22,6
,Assistant Professor,35,17,9,41,13,7,36,8,2,36,13,3,37,12,7
,Others,16,10,4,22,9,3,18,11,8,12,8,9,10,8,6
,Total,134,51,18,150,58,15,142,52,20,130,55,20,119,51,24
Total Faculty,Professor,1148,266,3,1139,278,2,1050,260,4,1039,251,5,997,235,5
,Associate Professor,682,248,5,654,255,4,574,237,9,562,239,6,560,249,9
,Assistant Professor,425,247,15,462,266,12,405,250,4,416,260,4,424,248,8
,Others,172,80,9,166,77,6,134,66,9,120,63,10,99,62,7
,Total,2427,841,32,2421,876,24,2163,813,26,2137,813,25,2080,794,29
