Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,98,73,4,478,159,4,92,4337,1826,49,92,6304
,MA (prof),38,45,1,215,284,2,25,1779,1938,6,25,3748
,MA (acad),56,35,3,244,163,1,5,1662,1081,21,5,2769
,MA (both),18,9,0,116,123,4,24,681,557,8,24,1270
,Subtotal MA,112,89,4,575,570,7,54,4122,3576,35,54,7787
,ThM/STM,7,0,0,53,9,0,5,334,90,3,5,432
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,17,13,0,175,49,0,29,1544,633,9,29,2215
,Other Prof Dr,1,5,0,22,11,0,0,120,111,0,0,231
,"Subtotal DMin and
Other Prof Dr",18,18,0,197,60,0,29,1664,744,9,29,2446
,PhD/ThD,6,6,0,76,37,0,1,499,183,8,1,691
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,23,23,0,267,207,4,51,1662,1153,12,51,2878
Total,,264,209,8,1646,1042,15,232,12618,7572,116,232,20538
