Table 2.4 Total Credit Hour Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,272,259925,181366,6374,48029,16294,511988,23835,535823
2022,280,240811,181585,6383,48875,16459,494113,20186,514299
2023,274,225093,171325,5824,45830,17217,465289,23568,488857
2024,281,225400,181141,6210,47095,18446,478292,27856,506148
2025,280,230801,191243,6272,48671,19576,496563,31721,528284
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,235,237397,157728,5730,46618,15970,463443,18717,482160
2022,243,228916,158367,5701,47484,16061,456529,17416,473945
2023,237,214882,160489,5026,44614,16068,441079,19920,460999
2024,245,214738,168819,5655,45773,17612,452597,23799,476396
2025,244,220226,177633,5816,47227,18373,469275,27411,496686
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,37,22528,23638,644,1411,324,48545,5118,53663
2022,37,11895,23218,682,1391,398,37584,2770,40354
2023,37,10211,10836,798,1216,1149,24210,3648,27858
2024,36,10662,12322,555,1322,834,25695,4057,29752
2025,36,10575,13610,456,1444,1203,27288,4310,31598
Table 2.4 reports fall total credit hours enrollment over a five-year period.,,,,,,,,,
