All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Network Administrator,,,
Number,2,8,6
Average Salary,-,69807,68930
Median Salary,-,72000,65000
Average Salary and Housing,-,69807,68930
Average Benefits,-,12058,18109
Average Pension,-,8578,6450
Total Average,-,90442,93489
25th percentile,-,45391,67452
Median,-,92599,78730
75th percentile,-,117558,113785
Recruitment Staff,,,
Number,12,19,12
Average Salary,63098,65574,71011
Median Salary,64428,63654,57985
Average Salary and Housing,63098,65574,72807
Average Benefits,5489,10411,12027
Average Pension,3600,5275,4369
Total Average,72187,81261,89202
25th percentile,49498,62348,67360
Median,68000,81949,78083
75th percentile,77750,85888,94073
Registrar,,,
Number,40,58,43
Average Salary,71370,65770,74485
Median Salary,71007,65000,73536
Average Salary and Housing,71370,65770,74485
Average Benefits,8703,11021,11994
Average Pension,4597,4289,7320
Total Average,84669,81081,93800
25th percentile,65474,62101,73394
Median,82601,80312,88315
75th percentile,94130,93600,103440
