All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of IT,,,
Number,18,30,27
Average Salary,91417,87592,110329
Median Salary,90900,79310,101019
Average Salary and Housing,91417,87592,110329
Average Benefits,17448,14539,16014
Average Pension,7097,7464,9927
Total Average,115962,109595,136270
25th percentile,85978,85277,112443
Median,100632,105342,125186
75th percentile,139991,134441,155576
Director of Library,,,
Number,39,42,26
Average Salary,76202,72076,87902
Median Salary,74320,71788,77812
Average Salary and Housing,77322,73824,87902
Average Benefits,11243,14433,10580
Average Pension,5296,6319,8654
Total Average,93861,94577,107136
25th percentile,64729,73433,83734
Median,83000,86173,106782
75th percentile,111948,114591,123080
Director of Continuing Education/Lifelong Learning,,,
Number,6,18,15
Average Salary,81399,80683,93678
Median Salary,69121,82200,92622
Average Salary and Housing,81399,89742,93678
Average Benefits,15180,18833,13800
Average Pension,3839,6443,9992
Total Average,100419,115018,117470
25th percentile,92185,82145,94275
Median,93680,106056,109745
75th percentile,120082,126379,125605
