United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2016,,2021,,2024,,2025,
Enrollment size,N,%,N,%,N,%,N,%
< 75,45,19%,51,22%,53,22%,53,22%
75 - 150,73,31%,66,28%,80,33%,72,30%
151 - 300,62,26%,62,26%,58,24%,68,28%
301 - 500,25,11%,28,12%,24,10%,17,7%
501 - 1000,15,6%,13,6%,13,5%,15,6%
> 1000,14,6%,14,6%,16,7%,17,7%
Not Reporting,1,0%,1,0%,1,0%,2,1%
Total,235,100%,235,100%,245,100%,244,100%
