All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Business Office Staff,,,
Number,13,20,16
Average Salary,62514,70424,69463
Median Salary,46947,66625,59736
Average Salary and Housing,62514,70424,69463
Average Benefits,9348,9433,11550
Average Pension,2767,6736,5883
Total Average,74630,86593,86895
25th percentile,43475,65145,48000
Median,63722,80450,83201
75th percentile,94648,102779,105353
Communications Staff,,,
Number,15,24,26
Average Salary,72719,69495,68326
Median Salary,67560,65620,70134
Average Salary and Housing,72719,69495,68326
Average Benefits,9126,12276,14937
Average Pension,4410,6819,5414
Total Average,86255,88590,88677
25th percentile,48072,67661,70134
Median,69433,82892,88500
75th percentile,111000,99981,107219
Data Specialist,,,
Number,5,5,7
Average Salary,54089,55614,76474
Median Salary,53045,60873,77234
Average Salary and Housing,54089,55614,76474
Average Benefits,3631,8762,10538
Average Pension,2556,4195,3152
Total Average,60276,68571,90163
25th percentile,43770,35193,58000
Median,62244,73014,103034
75th percentile,70228,86908,107520
