"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"University of St. Michael's College Faculty of
Theology",,10,13,38,37,1,1,5,5,26,26,4,10,84,92
University of the South School of Theology,,43,52,18,19,14,5,64,4,0,0,0,0,139,80
Urshan Graduate School of Theology,,24,15,54,28,0,0,12,6,0,0,22,9,112,58
Vancouver School of Theology,,64,39,59,29,11,4,0,0,0,0,60,22,194,94
Vanderbilt University Divinity School,,63,62,27,23,4,2,94,106,0,0,0,0,188,193
"Villanova University Department of Theology and
Religious Studies",,0,0,28,15,3,2,0,0,38,24,12,4,81,45
Virginia Theological Seminary,,97,101,11,9,0,0,51,5,0,0,16,20,175,135
Wake Forest University School of Divinity,,63,62,3,2,0,0,17,13,0,0,1,0,84,77
Wartburg Theological Seminary,,127,129,27,23,0,0,0,0,0,0,39,6,193,158
"Washington University of Virginia - Neal T. Jones
Seminary",,39,27,24,16,0,0,31,32,0,0,0,0,94,75
Wesley Biblical Seminary,,82,40,73,31,0,0,15,9,0,0,4,2,174,82
Wesley Seminary,,263,173,138,79,0,0,65,27,0,0,2,1,468,280
Wesley Theological Seminary,,172,118,77,40,0,0,144,112,0,0,17,5,410,275
Western Seminary,,111,50,522,231,16,2,42,15,19,13,16,6,726,317
Western Theological Seminary,,93,68,101,56,4,4,165,126,0,0,52,23,415,277
Westminster Theological Seminary,,230,139,773,195,16,5,87,57,26,10,222,59,1354,465
Westminster Theological Seminary in California,,74,82,24,25,0,0,0,0,0,0,0,0,98,107
Winebrenner Theological Seminary,,25,14,82,41,0,0,12,8,0,0,8,1,127,64
Wisconsin Lutheran Seminary,,152,517,0,0,39,4,0,0,0,0,0,0,191,521
World Mission University School of Theology,,33,22,132,80,0,0,73,68,46,48,0,0,284,218
Wycliffe College,,38,27,85,41,6,2,2,2,51,51,33,17,215,140
Yale Divinity School,,137,135,143,140,7,6,0,0,0,0,0,0,287,281
