Table 5.1 Total Giving by Source 2025,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,45160,7%,,29562,10%,
,Friends,221905,34%,,129527,44%,
,Subtotals,267065,41%,,159090,54%,
Organization,,,,,,,
,Foundations,202861,31%,,78504,27%,
,Corporations,17193,3%,,6986,2%,
,Religious Organizations,108004,17%,,15943,6%,
,Other Organizations,54391,8%,,31988,11%,
,Subtotals,382449,59%,,133421,46%,
Number of Respondents: 280,,,,,,,
United States,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,43522,7%,,27902,10%,
,Friends,216472,34%,,126100,45%,
,Subtotals,259994,41%,,154003,55%,
Organization,,,,,,,
,Foundations,199759,32%,,72838,26%,
,Corporations,16306,3%,,6247,2%,
,Religious Organizations,102291,16%,,14274,5%,
,Other Organizations,53896,9%,,31586,11%,
,Subtotals,372252,59%,,124944,45%,
Number of Respondents: 244,,,,,,,
Canada,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,2242,10%,,2272,12%,
,Friends,7434,32%,,4689,25%,
,Subtotals,9676,41%,,6961,38%,
Organization,,,,,,,
,Foundations,4244,18%,,7753,42%,
,Corporations,1213,5%,,1012,6%,
,Religious Organizations,7817,33%,,2285,12%,
,Other Organizations,678,3%,,550,3%,
,Subtotals,13953,59%,,11600,63%,
Number of Respondents: 36,,,,,,,
"Figures for ""All Member Schools"" and ""United States"" are in U.S. dollars, figures for ""Canada"" are in Canadian dollars.",,,,,,,
