United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2024,23280,28242,1916,8550,4732,6882
,2025,23174,27318,1932,7634,4874,7526
Acceptances,,,,,,,
2024,,16102,19398,1118,6066,1766,5762
,% of applicants,69%,69%,58%,71%,37%,84%
2025,,17584,20566,1286,6170,1726,6322
,% of applicants,76%,75%,67%,81%,35%,84%
New Enrollments,,,,,,,
2024,,11378,14180,740,4984,1262,4428
,% of acceptances,71%,73%,66%,82%,72%,77%
2025,,12064,14332,810,4756,1308,5072
,% of acceptances,69%,70%,63%,77%,76%,80%
