All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Dean of Chapel/Chaplain,,Dean of Students,,"Director/Chair of Academic
Degree Program",,Director of Admissions,
Number,27,1,61,7,62,2,46,2
Average Salary,79135,-,88936,65313,81088,-,72798,-
Median Salary,71750,-,92000,54788,77250,-,70000,-
Average Salary and Housing,86239,-,94418,66522,83124,-,72798,-
Average Benefits,16131,-,14606,3106,12087,-,11300,-
Average Pension,6065,-,8070,6787,5226,-,4406,-
Total Compensation Average,108435,-,117094,76415,100436,-,88505,-
"Total Compensation 25th
Percentile",77659,-,94978,28197,73728,-,75643,-
Total Compensation Median,96008,-,117058,58810,95770,-,87541,-
"Total Compensation 75th
Percentile",111950,-,139957,60508,119232,-,103104,-
,Director of Advancement,,Director of Assessment,,Business Office Manager,,Director of Communications,
Number,27,5,27,1,48,-,37,3
Average Salary,108147,70350,67841,-,77173,-,91458,-
Median Salary,115000,-,67626,-,78302,-,87000,-
Average Salary and Housing,108147,70350,67841,-,78298,-,92431,-
Average Benefits,14862,6662,7445,-,11794,-,17331,-
Average Pension,7493,5253,5338,-,6095,-,7618,-
Total Compensation Average,130502,82264,80624,-,96186,-,117380,-
"Total Compensation 25th
Percentile",110044,65032,63000,-,74368,-,74800,-
Total Compensation Median,122545,79599,77976,-,93450,-,106429,-
"Total Compensation 75th
Percentile",155890,90048,92003,-,116072,-,140484,-
,"Director of Doctor of
Ministry",,"Director of Enrollment
Management",,Facilities Director,,Director of Field Education,
Number,17,-,31,-,40,3,47,1
Average Salary,85695,-,109042,-,88388,-,75536,-
Median Salary,90983,-,105406,-,82024,-,76320,-
Average Salary and Housing,87315,-,109042,-,89468,-,78119,-
Average Benefits,15686,-,13930,-,16867,-,15374,-
Average Pension,4835,-,8094,-,7465,-,5976,-
Total Compensation Average,107836,-,131066,-,113800,-,99469,-
"Total Compensation 25th
Percentile",91404,-,101494,-,92490,-,84517,-
Total Compensation Median,110746,-,119704,-,107969,-,100646,-
"Total Compensation 75th
Percentile",126130,-,148174,-,132645,-,119297,-
