United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2016,,2021,,2024,,2025,
Enrollment size,N,%,N,%,N,%,N,%
< 75,84,36%,80,34%,107,44%,97,40%
75 - 150,72,31%,77,33%,69,28%,71,29%
151 - 300,45,19%,46,20%,36,15%,39,16%
301 - 500,17,7%,14,6%,11,5%,14,6%
501 - 1000,9,4%,10,4%,15,6%,16,7%
> 1000,7,3%,7,3%,6,2%,5,2%
Not Reporting,1,0%,1,0%,1,0%,2,1%
Total,235,100%,235,100%,245,100%,244,100%
