col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Library Staff,,,,,,
Number,15,59,33,17,18,2
Average Salary,50930,63366,71427,76905,66077,-
Median Salary,47031,63654,66698,69313,64702,-
Average Salary and Housing,50930,63366,71427,76905,66077,-
Average Benefits,5494,14863,11858,21758,13458,-
Average Pension,2965,6277,7770,3272,7471,-
Total Compensation Average,59389,84506,91054,101934,87006,-
Total Compensation 25th Percentile,41200,72185,66730,82086,77547,-
Total Compensation Median,54599,86587,84661,91147,83468,-
Total Compensation 75th Percentile,71190,101549,96067,116685,96723,-
Network Administrator,,,,,,
Number,5,6,1,-,4,-
Average Salary,61565,80317,-,-,-,-
Median Salary,-,80975,-,-,-,-
Average Salary and Housing,61565,80317,-,-,-,-
Average Benefits,12473,16845,-,-,-,-
Average Pension,6141,8256,-,-,-,-
Total Compensation Average,80178,105417,-,-,-,-
Total Compensation 25th Percentile,35000,92599,-,-,-,-
Total Compensation Median,93185,107876,-,-,-,-
Total Compensation 75th Percentile,109758,121304,-,-,-,-
Recruitment Staff,,,,,,
Number,7,18,12,2,4,1
Average Salary,55999,63577,66432,-,-,-
Median Salary,64428,57985,65000,-,-,-
Average Salary and Housing,55999,64774,66432,-,-,-
Average Benefits,2363,11103,8055,-,-,-
Average Pension,4543,4195,4325,-,-,-
Total Compensation Average,62906,80072,78813,-,-,-
Total Compensation 25th Percentile,45670,63821,67360,-,-,-
Total Compensation Median,68616,76606,75000,-,-,-
Total Compensation 75th Percentile,74877,96820,81282,-,-,-
Registrar,,,,,,
Number,42,57,24,5,15,4
Average Salary,59666,68949,80632,85562,66796,-
Median Salary,56650,66579,78805,-,64471,-
Average Salary and Housing,59666,68949,80632,85562,66796,-
Average Benefits,8495,10308,10881,22651,9428,-
Average Pension,4107,4506,7265,3892,6612,-
Total Compensation Average,72268,83764,98778,112105,82836,-
Total Compensation 25th Percentile,44441,69945,72905,71410,63736,-
Total Compensation Median,75967,82348,90000,102179,83029,-
Total Compensation 75th Percentile,87668,93950,117922,128435,87448,-
