All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
HR Staff,,,
Number,4,8,9
Average Salary,-,75036,73764
Median Salary,-,76000,73840
Average Salary and Housing,-,75036,73764
Average Benefits,-,17421,12621
Average Pension,-,8608,6777
Total Average,-,101064,93162
25th percentile,-,84808,62466
Median,-,102925,96351
75th percentile,-,111626,113607
IT Help Desk Support,,,
Number,6,4,10
Average Salary,53826,-,57014
Median Salary,35903,-,65000
Average Salary and Housing,53826,-,57014
Average Benefits,5845,-,10945
Average Pension,2036,-,5664
Total Average,61707,-,73622
25th percentile,39188,-,59211
Median,43308,-,82125
75th percentile,79559,-,92625
Library Staff,,,
Number,19,74,50
Average Salary,66025,63817,69637
Median Salary,70000,63550,66560
Average Salary and Housing,66025,63817,69637
Average Benefits,14611,14126,13037
Average Pension,4691,5478,7616
Total Average,85327,83422,90291
25th percentile,44414,71190,71904
Median,85980,85240,84964
75th percentile,114831,95258,96723
