Table 4.4 Expenditures as a Percent of Total Expenditures,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2020-21,2021-22,2022-23,2023-24,2024-25
Instruction,30%,30%,30%,29%,28%
Research,1%,1%,1%,1%,2%
Public Service,1%,1%,1%,2%,3%
Library,3%,3%,3%,3%,3%
Academic Support,7%,6%,7%,6%,6%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,20%,21%,20%,21%,22%
Operation and Maintenance of Plant,11%,11%,10%,10%,11%
Scholarships and Fellowships,14%,14%,13%,13%,13%
Auxiliary Enterprises,7%,7%,7%,7%,7%
United States,,,,,
,2020-21,2021-22,2022-23,2023-24,2024-25
Instruction,30%,29%,30%,29%,28%
Research,1%,1%,1%,1%,2%
Public Service,1%,1%,1%,2%,3%
Library,3%,3%,3%,3%,3%
Academic Support,7%,6%,7%,6%,6%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,20%,21%,20%,21%,22%
Operation and Maintenance of Plant,10%,10%,10%,10%,11%
Scholarships and Fellowships,14%,14%,13%,13%,13%
Auxiliary Enterprises,7%,7%,7%,7%,7%
Canada,,,,,
,2020-21,2021-22,2022-23,2023-24,2024-25
Instruction,37%,37%,36%,36%,37%
Research,0%,0%,0%,1%,1%
Public Service,1%,1%,1%,1%,1%
Library,5%,4%,4%,4%,4%
Academic Support,2%,2%,3%,3%,3%
Student Services,2%,2%,2%,2%,3%
Admissions,4%,4%,4%,4%,4%
Institutional Support,21%,20%,21%,20%,20%
Operation and Maintenance of Plant,16%,16%,16%,16%,15%
Scholarships and Fellowships,8%,7%,7%,7%,7%
Auxiliary Enterprises,6%,6%,7%,7%,6%
