col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Admissions,,,,,,
Number,10,17,9,5,3,4
Average Salary,65768,73586,76732,84306,-,-
Median Salary,67500,69973,70000,-,-,-
Average Salary and Housing,65768,73586,76732,84306,-,-
Average Benefits,5825,11912,9265,18410,-,-
Average Pension,3015,3447,5895,3970,-,-
Total Compensation Average,74608,88945,91893,106686,-,-
Total Compensation 25th Percentile,67666,64660,75915,86036,-,-
Total Compensation Median,81253,77510,88757,97496,-,-
Total Compensation 75th Percentile,83592,108328,113080,113090,-,-
Director of Advancement,,,,,,
Number,7,9,9,4,2,1
Average Salary,101452,91320,101359,-,-,-
Median Salary,100000,85000,100000,-,-,-
Average Salary and Housing,101452,91320,101359,-,-,-
Average Benefits,11621,9198,16179,-,-,-
Average Pension,6813,8169,5756,-,-,-
Total Compensation Average,119886,108687,123294,-,-,-
Total Compensation 25th Percentile,72000,74955,85851,-,-,-
Total Compensation Median,120010,113584,118658,-,-,-
Total Compensation 75th Percentile,140175,125749,143690,-,-,-
Director of Assessment,,,,,,
Number,7,9,4,1,5,2
Average Salary,51533,67719,-,-,60263,-
Median Salary,57059,77976,-,-,-,-
Average Salary and Housing,51533,67719,-,-,60263,-
Average Benefits,4895,6319,-,-,7277,-
Average Pension,2226,5067,-,-,7295,-
Total Compensation Average,58654,79105,-,-,74836,-
Total Compensation 25th Percentile,29664,61594,-,-,60992,-
Total Compensation Median,60616,88967,-,-,76939,-
Total Compensation 75th Percentile,63000,92003,-,-,81167,-
Business Office Manager,,,,,,
Number,10,16,8,4,8,2
Average Salary,62572,79316,86325,-,69400,-
Median Salary,54306,87561,77000,-,59126,-
Average Salary and Housing,62572,82691,86325,-,69400,-
Average Benefits,12504,8748,12730,-,11465,-
Average Pension,4066,5465,6338,-,9986,-
Total Compensation Average,79142,96904,105393,-,90852,-
Total Compensation 25th Percentile,62373,76552,70040,-,74368,-
Total Compensation Median,72493,98159,81620,-,82442,-
Total Compensation 75th Percentile,97082,110653,142425,-,91145,-
