All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director/Chair of Academic Degree Program,,,
Number,14,12,33
Average Salary,88785,78315,82322
Median Salary,71396,74285,78055
Average Salary and Housing,93311,78315,84560
Average Benefits,10217,6010,16365
Average Pension,5268,4465,6256
Total Average,108796,88790,107181
25th percentile,71396,61392,84618
Median,79700,89417,99910
75th percentile,119232,103000,120521
Director of Admissions,,,
Number,8,22,16
Average Salary,82480,68477,75525
Median Salary,77510,67500,71496
Average Salary and Housing,82480,68477,75525
Average Benefits,8129,11316,12499
Average Pension,1940,3818,6283
Total Average,92548,83611,94307
25th percentile,59314,67666,86036
Median,77510,83050,90611
75th percentile,108965,99802,99312
Director of Advancement,,,
Number,7,11,13
Average Salary,112628,92077,110423
Median Salary,117832,90815,115000
Average Salary and Housing,112628,92077,110423
Average Benefits,6867,14752,17250
Average Pension,4772,6526,9490
Total Average,124266,113354,137163
25th percentile,85851,99541,96498
Median,119416,118658,155890
75th percentile,125749,122545,161443
