Table 4.1 Average Annual Tuition and Fees Charged by Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States,,,,Canada,,,
,2024-25,,2025-26,,2024-25,,2025-26,
,Average,N,Average,N,Average,N,Average,N
Master's Degree Programs (MDiv),,,,,,,,
< 75,17176,95,16565,88,9280,21,9775,17
75 - 150,17998,64,19462,67,11550,8,10973,12
151 - 300,20730,35,20527,36,8422,1,8563,1
301 - 500,16833,11,20027,14,0,0,0,0
501 - 1000,17053,14,16609,15,40824,1,44307,1
> 1000,10963,6,11031,5,0,0,0,0
Doctoral Degree Programs (DMin),,,,,,,,
< 75,8073,52,7881,46,8401,8,8131,6
75 - 150,9515,47,9781,46,7807,5,7780,7
151 - 300,8932,25,9314,28,8080,1,8223,1
301 - 500,7940,9,9690,12,0,0,0,0
501 - 1000,9754,14,9004,15,22788,1,25128,1
> 1000,6574,6,7598,5,0,0,0,0
Doctoral Degree Programs (PhD/ThD),,,,,,,,
< 75,15068,10,16671,10,7911,6,9494,3
75 - 150,22646,16,16557,14,7202,1,6984,3
151 - 300,22674,18,23235,20,13038,2,13114,2
301 - 500,10662,5,12804,8,0,0,0,0
501 - 1000,15222,12,14916,13,0,0,0,0
> 1000,10987,6,11883,5,0,0,0,0
"Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.
N = Number reporting.",,,,,,,,
