col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Canadian Baptist Theological Seminary,ACCRED,C,W,AB,CNBC,2717,9.3,6,6,44,26,15840
Canadian Reformed Theological Seminary,ACCRED,I,W,ON,CANREF,2044,0.0,5,5,26,30,4000
Candler School of Theology of Emory University,ACCRED,U,M,GA,UMC,33371,371.8,37,49,507,431,28800
Carey Theological College,ACCRED,I,N,BC,BAPTWC,1715,1.5,2,7,44,15,9315
Catholic International University Graduate School of Theology,ACCRED,U,W,WV,RC,4005,1.0,3,8,97,83,0
Catholic Theological Union,ACCRED,I,W,IL,RC,9751,50.5,14,17,245,181,27666
Catholic University of America School of Theology and Religious Studies,ACCRED,U,W,DC,RC,5663,31.0,3,3,289,167,36730
Central Baptist Theological Seminary,ACCRED,I,V,KS,ABCUSA,4744,0.1,19,19,291,217,8130
Central Baptist Theological Seminary of Minneapolis,ACCRED,I,W,MN,INDBAP,2513,4.6,2,5,101,43,9830
Chapman Seminary of Oakland City University,ACCRED,U,W,IN,GENBAPT,383,0.0,1,2,10,4,8250
Charlotte Theological Seminary,ASSOC,I,M,NC,NONDEN,801,0.0,1,5,49,19,13425
Chicago Theological Seminary,ACCRED,I,W,IL,UCC,8807,28.5,11,13,189,94,26448
China Evangelical Seminary North America,ACCRED,I,V,CA,NONDEN,2592,4.4,5,5,148,49,9915
Christ School of Theology of the Institute of Lutheran Theology,ACCRED,U,M,SD,INTER,1394,0.5,5,10,122,52,12492
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,23884,165.6,16,24,165,123,13523
Christian Witness Theological Seminary,ACCRED,I,A,CA,INTER,2034,0.0,5,7,93,60,11280
Church Divinity School of the Pacific,ACCRED,I,W,CA,EPISC,7513,51.0,3,5,39,28,18010
Clamp Divinity School at Anderson University,ASSOC,U,M,SC,SCBC,1139,0.0,3,5,113,92,8000
Claremont School of Theology,ACCRED,I,A,CA,UMC,8996,16.4,19,23,252,186,26520
Colgate Rochester Crozer Divinity School,ACCRED,I,B,NY,ABCUSA,3272,19.1,1,5,77,56,3900
Columbia Biblical Seminary of Columbia International University,ACCRED,C,A,SC,INTER,949,0.0,7,19,685,301,15250
Columbia Theological Seminary,ACCRED,I,B,GA,PCUSA,19936,296.3,17,19,171,98,22320
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,1175,5.8,3,3,7,5,15410
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,1044,5.9,4,5,21,16,9278
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,35790,290.7,23,29,620,271,34205
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,23296,107.4,21,26,267,128,37974
Cornerstone Theological Seminary,ACCRED,C,W,MI,INTER,1194,5.8,5,6,91,37,10656
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,13051,60.0,18,31,557,301,16212
Crown College Graduate School of Ministry,ACCRED,C,M,MN,CMA,508,0.0,3,42,114,50,12200
Dallas Theological Seminary,ACCRED,I,W,TX,NONDEN,78950,168.8,63,87,2622,1378,21700
Denver Seminary,ACCRED,I,W,CO,INTER,18300,67.4,23,55,811,407,14340
Dickerson-Green Theological Seminary of Allen University,ACCRED,U,B,SC,AME,25546,0.0,4,11,49,33,4900
Dominican House of Studies,ACCRED,I,W,DC,RC,8749,26.4,11,14,74,111,18916
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,3504,9.4,14,16,54,49,22990
Drew University Theological School,ACCRED,U,M,NJ,UMC,80147,31.0,23,23,349,283,1000
