All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Field Education,,,
Number,10,22,16
Average Salary,64905,77539,77491
Median Salary,48096,75896,76320
Average Salary and Housing,70186,80576,77603
Average Benefits,7505,19036,14295
Average Pension,3504,5765,7517
Total Average,81194,105377,99416
25th percentile,45863,86193,84517
Median,91264,107000,86122
75th percentile,103600,128958,119297
Director of Financial Aid,,,
Number,3,8,7
Average Salary,-,80785,79184
Median Salary,-,75949,81753
Average Salary and Housing,-,80785,79184
Average Benefits,-,11675,19589
Average Pension,-,3588,8253
Total Average,-,96048,107026
25th percentile,-,76803,72475
Median,-,86528,106150
75th percentile,-,101502,119162
Director of Formation,,,
Number,32,9,13
Average Salary,78038,72301,108598
Median Salary,73391,67398,104095
Average Salary and Housing,82865,75871,111175
Average Benefits,15023,17514,16640
Average Pension,6966,3668,9091
Total Average,104854,97053,136905
25th percentile,73164,58000,104095
Median,94215,98886,132044
75th percentile,139064,105338,155840
