All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Development Officer,,,
Number,25,29,30
Average Salary,"129,494","114,123","141,086"
Median Salary,"129,189","119,426","142,015"
Average Salary and Housing,"130,262","116,113","143,906"
Average Benefits,"17,992","13,533","14,210"
Average Pension,"8,890","9,616","13,339"
Total Average,"157,145","139,262","171,455"
25th percentile,"91,686","103,000","130,830"
Median,"156,777","132,250","164,445"
75th percentile,"200,113","175,478","195,458"
VP-Finance (CFO),,,
Number,30,49,42
Average Salary,"133,686","135,957","142,676"
Median Salary,"115,167","130,000","140,000"
Average Salary and Housing,"134,086","137,453","143,994"
Average Benefits,"14,337","11,385","14,373"
Average Pension,"7,794","12,080","12,203"
Total Average,"156,216","160,919","170,570"
25th percentile,"98,917","114,734","128,372"
Median,"128,827","158,723","171,862"
75th percentile,"207,302","204,223","207,747"
VP-Operations/Facilities (COO),,,
Number,3,12,12
Average Salary,-,"110,187","143,424"
Median Salary,-,"88,290","135,000"
Average Salary and Housing,-,"110,980","144,257"
Average Benefits,-,"15,387","15,558"
Average Pension,-,"11,134","10,563"
Total Average,-,"137,500","170,378"
25th percentile,-,"92,219","134,190"
Median,-,"109,242","166,005"
75th percentile,-,"147,854","181,547"
