"Table 4.2 Average Annual Tuition and Fees Charged at Independent, University-Affiliated, and
College-Affiliated Schools",col_1,col_2,col_3,col_4,col_5
,,United States,,Canada,
,,2024-25,2025-26,2024-25,2025-26
Master's Degree Programs (MDiv) per academic year,,,,,
,Independent,17800,17911,9010,9270
,University-Affiliated,18032,19501,9392,9420
,College-Affiliated,17171,16434,15155,16226
Doctoral Degree Programs (DMin) full program if completed within 3 years,,,,,
,Independent,8587,8675,8580,8734
,University-Affiliated,9811,10271,6451,6499
,College-Affiliated,7457,7858,12280,11808
Doctoral Degree Programs (PhD/ThD) per academic year,,,,,
,Independent,16346,15424,10940,10957
,University-Affiliated,22574,21615,6358,6408
,College-Affiliated,9531,9846,6967,7036
Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.,,,,,
