col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Professor,,,,,,
Number,164,297,237,94,205,85
Average Salary,84579,93049,132943,130082,101547,96646
Median Salary,86318,96200,122179,112455,89102,93076
Average Salary and Housing,86812,97385,137790,131353,103034,96646
Average Benefits,10387,15349,12971,16156,18255,13925
Average Pension,4520,7081,8060,4354,11199,8138
Total Compensation Average,101720,119815,158822,151863,132488,118709
Total Compensation 25th Percentile,84338,97207,118356,91404,109980,104578
Total Compensation Median,100029,120308,145360,126241,119434,112196
Total Compensation 75th Percentile,123882,142343,194386,189265,142269,141245
Associate Professor,,,,,,
Number,126,204,182,53,131,38
Average Salary,76939,81619,100494,98549,90971,86685
Median Salary,77884,83184,96000,103132,85168,83554
Average Salary and Housing,78012,85186,107008,99800,91083,86685
Average Benefits,9514,14715,13781,15748,15699,17122
Average Pension,5043,6714,6364,1775,10397,8036
Total Compensation Average,92568,106614,127153,117324,117179,111843
Total Compensation 25th Percentile,76118,87596,100056,75301,95074,99030
Total Compensation Median,94120,105886,116992,113186,112763,106605
Total Compensation 75th Percentile,109542,124727,147500,149735,133147,117431
Assistant Professor,,,,,,
Number,131,211,115,41,62,44
Average Salary,67584,71317,80544,75936,76531,70036
Median Salary,63847,73017,80964,71360,71400,72199
Average Salary and Housing,70128,74444,83321,76607,76742,70036
Average Benefits,9230,13581,11603,10245,16899,13121
Average Pension,4558,6175,5280,1381,6603,4545
Total Compensation Average,83916,94200,100205,88232,100243,87702
Total Compensation 25th Percentile,66724,76330,85156,68841,84967,79166
Total Compensation Median,78983,92190,97742,79058,98182,90856
Total Compensation 75th Percentile,98322,112820,112500,106632,109976,105405
Not Ranked,,,,,,
Number,6,5,12,2,-,-
Average Salary,47400,69399,95645,-,-,-
Median Salary,36278,-,78937,-,-,-
Average Salary and Housing,47400,76599,96370,-,-,-
Average Benefits,5090,19683,15236,-,-,-
Average Pension,3333,4975,6063,-,-,-
Total Compensation Average,55823,101257,117670,-,-,-
Total Compensation 25th Percentile,35210,62004,80780,-,-,-
Total Compensation Median,55538,99399,105831,-,-,-
Total Compensation 75th Percentile,75000,129712,136199,-,-,-
