col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
VP/Director-HR,,,,,,
Number,3,6,13,3,5,4
Average Salary,-,90721,136497,-,95546,-
Median Salary,-,89729,125000,-,-,-
Average Salary and Housing,-,90721,138805,-,95546,-
Average Benefits,-,16708,14951,-,9963,-
Average Pension,-,4672,13615,-,11075,-
Total Compensation Average,-,112102,167371,-,116584,-
Total Compensation 25th Percentile,-,89197,115260,-,80214,-
Total Compensation Median,-,101931,153635,-,109162,-
Total Compensation 75th Percentile,-,129464,215257,-,113684,-
Chief Development Officer,,,,,,
Number,26,24,18,4,9,4
Average Salary,106724,117378,157216,-,141782,-
Median Salary,100000,119426,154350,-,142015,-
Average Salary and Housing,108617,117378,163455,-,141782,-
Average Benefits,10002,18392,14595,-,12703,-
Average Pension,7752,9210,14564,-,15027,-
Total Compensation Average,126371,144979,192613,-,169512,-
Total Compensation 25th Percentile,86675,94694,166639,-,116450,-
Total Compensation Median,120000,136920,197007,-,164445,-
Total Compensation 75th Percentile,162478,181430,230288,-,178426,-
VP-Finance (CFO),,,,,,
Number,35,44,23,5,12,4
Average Salary,110826,138930,159193,146878,151299,-
Median Salary,101198,130000,170000,-,142015,-
Average Salary and Housing,110826,140203,162875,146878,151299,-
Average Benefits,7302,14373,15341,16383,17477,-
Average Pension,7199,11255,12331,13824,16324,-
Total Compensation Average,125328,165830,190547,177085,185100,-
Total Compensation 25th Percentile,87696,113947,137987,91219,162800,-
Total Compensation Median,112059,152957,199441,170000,177384,-
Total Compensation 75th Percentile,162921,207302,223178,197250,207747,-
VP-Operations/Facilities (COO),,,,,,
Number,9,10,2,2,2,3
Average Salary,96135,121665,-,-,-,-
Median Salary,88174,106127,-,-,-,-
Average Salary and Housing,97192,122665,-,-,-,-
Average Benefits,12666,13615,-,-,-,-
Average Pension,4359,10852,-,-,-,-
Total Compensation Average,114218,147132,-,-,-,-
Total Compensation 25th Percentile,83711,120454,-,-,-,-
Total Compensation Median,93174,134190,-,-,-,-
Total Compensation 75th Percentile,143800,181547,-,-,-,-
