All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Professor,,Associate Professor,,Assistant Professor,,Not Ranked,
Number,1031,51,656,78,556,48,24,1
Average Salary,106038,97031,90471,73330,73756,64493,87878,-
Median Salary,97192,93455,86700,68883,72568,63360,74256,-
Average Salary and Housing,109081,98792,93522,74968,76034,66286,89741,-
Average Benefits,14971,6792,15112,4318,13068,3917,15084,-
Average Pension,7624,5697,6875,5320,5217,5674,6163,-
Total Compensation Average,131676,111281,115509,84606,94320,75878,110988,-
"Total Compensation 25th
Percentile",101445,89703,94781,69110,76617,63265,71786,-
Total Compensation Median,123021,108701,111441,79354,93066,73367,102102,-
"Total Compensation 75th
Percentile",152096,120423,133458,96112,110400,88308,136199,-
