"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,
,Degree Program,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total
Indigenous,,,,,,,,,,,,,,,,,,,,,
,MDiv,64,26,1,91,60,26,1,87,83,33,0,116,74,33,2,109,72,30,1,103
,MA,65,43,0,108,70,46,0,116,70,44,0,114,68,64,0,132,79,61,0,140
,ThM / STM,3,0,0,3,2,0,0,2,2,0,0,2,2,1,0,3,4,1,0,5
,DMin and Other Dr,24,9,0,33,26,8,0,34,24,8,0,32,30,14,0,44,29,13,0,42
,PhD / ThD,9,8,0,17,6,5,0,11,13,6,0,19,13,5,0,18,19,12,0,31
,Non-Degrees,7,3,0,10,11,2,1,14,16,5,0,21,10,5,3,18,21,6,0,27
,Subtotal,172,89,1,262,175,87,2,264,208,96,,304,197,122,5,324,224,123,1,348
White (Non-Hispanic),,,,,,,,,,,,,,,,,,,,,
,MDiv,10801,4210,111,15122,10231,3783,144,14158,10061,3489,133,13683,9854,3279,131,13264,9953,3287,124,13364
,MA,7266,6419,33,13718,7205,6297,198,13700,7443,6438,53,13934,7573,6587,60,14220,7591,6513,43,14147
,ThM / STM,491,84,2,577,517,89,6,612,508,84,2,594,500,78,3,581,478,95,4,577
,DMin and Other Dr,3520,1097,6,4623,3621,1195,14,4830,3439,1185,11,4635,3387,1243,24,4654,3360,1269,19,4648
,PhD / ThD,1606,444,2,2052,1568,436,2,2006,1665,446,7,2118,1676,443,14,2133,1763,464,13,2240
,Non-Degrees,1134,759,12,1905,1216,733,14,1963,1280,909,11,2200,1705,1058,16,2779,1846,1044,10,2900
,Subtotal,24818,13013,166,37997,24358,12533,378,37269,24396,12551,217,37164,24695,12688,248,37631,24991,12672,213,37876
Multiracial,,,,,,,,,,,,,,,,,,,,,
,MDiv,334,204,7,545,316,171,12,499,343,177,15,535,356,167,10,533,391,172,14,577
,MA,250,257,2,509,227,286,13,526,261,276,3,540,308,341,11,660,386,369,6,761
,ThM / STM,14,5,0,19,20,5,0,25,21,1,0,22,17,2,0,19,20,1,0,21
,DMin and Other Dr,88,56,2,146,92,52,1,145,95,65,3,163,117,64,3,184,99,70,4,173
,PhD / ThD,49,24,0,73,60,19,0,79,63,22,0,85,82,30,0,112,74,34,0,108
,Non-Degrees,38,19,0,57,37,27,0,64,49,42,0,91,67,47,0,114,71,51,0,122
,Subtotal,773,565,11,1349,752,560,26,1338,832,583,21,1436,947,651,24,1622,1041,697,24,1762
