col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of IT,,,,,,
Number,15,29,14,7,8,3
Average Salary,78468,88031,103414,117657,118271,-
Median Salary,75712,88046,95546,101994,101198,-
Average Salary and Housing,78468,88031,103414,117657,118271,-
Average Benefits,13363,15922,17707,20172,13417,-
Average Pension,7330,6201,10064,6089,13013,-
Total Compensation Average,99162,110153,131185,143918,144701,-
Total Compensation 25th Percentile,75900,84150,95709,119102,91791,-
Total Compensation Median,90102,107957,119455,124724,131638,-
Total Compensation 75th Percentile,117189,136169,158571,128530,164041,-
Director of Library,,,,,,
Number,34,42,18,5,7,3
Average Salary,60568,78519,91009,100729,80546,-
Median Salary,62019,78718,83040,-,86330,-
Average Salary and Housing,61141,80398,91009,100729,83217,-
Average Benefits,10207,13662,9257,23704,13665,-
Average Pension,4296,6779,7960,6405,8983,-
Total Compensation Average,75644,100840,108226,130838,105865,-
Total Compensation 25th Percentile,51888,77340,89937,69433,67282,-
Total Compensation Median,76592,93700,106914,97900,117213,-
Total Compensation 75th Percentile,89650,113414,147858,163156,118588,-
Director of Continuing Education/Lifelong Learning,,,,,,
Number,7,18,10,1,2,1
Average Salary,75485,76675,95999,-,-,-
Median Salary,73956,69480,96507,-,-,-
Average Salary and Housing,91199,79623,95999,-,-,-
Average Benefits,13041,18152,16882,-,-,-
Average Pension,4220,7417,7917,-,-,-
Total Compensation Average,108460,105192,120798,-,-,-
Total Compensation 25th Percentile,82145,80662,106641,-,-,-
Total Compensation Median,95724,100054,117790,-,-,-
Total Compensation 75th Percentile,100393,116831,140552,-,-,-
Director of Marketing,,,,,,
Number,7,14,5,4,3,2
Average Salary,93533,83205,83771,-,-,-
Median Salary,69533,78030,-,-,-,-
Average Salary and Housing,93533,83205,83771,-,-,-
Average Benefits,12978,7914,14052,-,-,-
Average Pension,13917,6031,5677,-,-,-
Total Compensation Average,120428,97151,103500,-,-,-
Total Compensation 25th Percentile,67569,82312,64435,-,-,-
Total Compensation Median,90122,95833,109076,-,-,-
Total Compensation 75th Percentile,93022,108912,109645,-,-,-
