All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,HR Staff,,Developer,,IT Help Desk Support,,Library Staff,
Number,21,1,6,-,16,4,132,12
Average Salary,"73,787",-,"64,195",-,"63,852",-,"66,811","56,235"
Median Salary,"76,000",-,"65,000",-,"65,000",-,"65,000","38,524"
Average Salary and Housing,"73,787",-,"66,043",-,"63,852",-,"66,811","56,235"
Average Benefits,"15,379",-,"16,353",-,"13,680",-,"14,539","4,865"
Average Pension,"7,633",-,"7,808",-,"6,585",-,"6,078","6,233"
Total Compensation Average,"96,799",-,"90,204",-,"84,117",-,"87,428","67,333"
"Total Compensation 25th
Percentile","75,720",-,"85,203",-,"69,302",-,"72,185","39,478"
Total Compensation Median,"97,357",-,"87,985",-,"84,180",-,"85,545","46,788"
"Total Compensation 75th
Percentile","115,470",-,"99,549",-,"93,270",-,"97,957","60,381"
,Network Administrator,,PC Technician,,Recruitment Staff,,Registrar,
Number,16,-,5,-,37,7,124,23
Average Salary,"70,912",-,"79,032",-,"69,938","42,693","69,119","66,386"
Median Salary,"72,000",-,-,-,"66,136","42,856","68,937","58,013"
Average Salary and Housing,"70,912",-,"79,032",-,"70,520","42,693","69,119","66,386"
Average Benefits,"14,583",-,"12,415",-,"10,250","4,271","11,380","4,263"
Average Pension,"7,350",-,"5,121",-,"4,993","1,779","5,026","5,518"
Total Compensation Average,"92,846",-,"96,568",-,"85,764","48,743","85,525","76,168"
"Total Compensation 25th
Percentile","67,452",-,"75,458",-,"68,616","33,841","70,685","55,699"
Total Compensation Median,"93,185",-,"92,266",-,"78,828","49,498","83,334","66,295"
"Total Compensation 75th
Percentile","113,785",-,"95,095",-,"96,820","58,088","100,476","87,023"
