col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Pacific School of Religion,ACCRED,I,W,CA,INTER,9882,64.7,10,11,140,86,20310
Pacific Theological Seminary,ASSOC,I,M,CA,NONDEN,349,0.0,0,4,9,3,5400
Palm Beach Atlantic University School of Ministry Graduate Department,ACCRED,U,N,FL,INTER,2388,0.6,11,18,190,114,14178
Palmer Theological Seminary of Eastern University,ACCRED,U,H,PA,ABCUSA,3021,19.4,5,8,218,127,10726
Payne Theological Seminary,ACCRED,I,B,OH,AME,2892,0.7,4,4,130,120,19533
Pentecostal Theological Seminary,ACCRED,I,W,TN,COGCLEV,6933,23.0,14,21,453,246,10330
Perkins School of Theology Southern Methodist University,ACCRED,U,W,TX,UMC,19273,231.5,23,27,274,144,27717
Phillips Theological Seminary,ACCRED,I,W,OK,DISCPL,9109,175.1,8,9,153,85,11016
Phoenix Seminary,ACCRED,I,W,AZ,NONDEN,5510,1.8,3,29,293,125,11072
Pittsburgh Theological Seminary,ACCRED,I,W,PA,PCUSA,15461,281.3,15,15,203,164,13400
Pontifical College Josephinum,ACCRED,C,N,OH,RC,9989,36.2,8,12,24,27,36570
Pope St. John XXIII National Seminary,ACCRED,I,W,MA,RC,3537,6.9,3,5,32,36,28000
Portland Seminary of George Fox University,ACCRED,C,W,OR,INTER,2778,5.4,7,7,289,217,13844
Presbyterian Theological Seminary in America of California Prestige University,ACCRED,I,A,CA,KPCA,2444,0.0,6,15,127,69,9362
Princeton Theological Seminary,ACCRED,I,W,NJ,PCUSA,75135,1481.7,34,40,300,285,20900
Providence Theological Seminary,ACCRED,C,W,MB,INTER,1401,0.0,8,12,141,63,13047
Puritan Reformed Theological Seminary,ACCRED,I,W,MI,HERREF,7296,10.3,11,14,582,207,7900
Reformed Episcopal Seminary,ACCRED,I,W,PA,RFEPISC,838,0.7,7,8,21,10,17470
Reformed Presbyterian Theological Seminary,ACCRED,I,W,PA,RFPRES,2360,7.6,4,5,85,60,13989
Reformed Theological Seminary,ACCRED,I,W,MS,INTER,30473,84.5,32,37,1050,540,22637
Regent College,ACCRED,I,W,BC,INTER,11011,55.3,10,23,311,133,12282
Regent University School of Divinity,ACCRED,U,B,VA,INTER,15254,33.6,13,36,1215,673,15810
Regis College,ACCRED,I,W,ON,RC,4460,12.0,1,3,89,66,8648
Robert E. Webber Institute for Worship Studies,ACCRED,I,W,FL,INTER,963,0.3,0,4,104,118,0
Sacred Heart Major Seminary,ACCRED,I,W,MI,RC,11554,38.2,8,11,149,82,35032
Sacred Heart Seminary and School of Theology,ACCRED,I,V,WI,RC,9062,14.3,14,21,131,141,38480
Saint John's Seminary (MA),ACCRED,C,W,MA,RC,6352,44.4,0,0,66,66,45028
Saint John's University School of Theology and Seminary,ACCRED,C,W,MN,RC,5420,33.5,8,9,162,95,18030
Saint Mary Seminary and Graduate School of Theology,ACCRED,I,W,OH,RC,3866,1.0,9,12,88,45,10470
Saint Meinrad School of Theology,ACCRED,I,W,IN,RC,14074,57.2,16,22,179,140,42139
Saint Paul School of Theology,ACCRED,I,W,KS,UMC,4611,41.4,5,11,97,63,21450
Saint Paul Seminary School of Divinity of the University of St. Thomas,ACCRED,U,W,MN,RC,9443,59.2,8,8,205,104,28354
Saint Sophia Ukrainian Orthodox Theological Seminary,ACCRED,I,M,NJ,UKOCUSA,454,2.3,0,0,30,27,15200
Saint Vincent Seminary,ACCRED,C,W,PA,RC,3120,20.1,9,14,88,85,36740
Samuel DeWitt Proctor School of Theology of Virginia Union University,ACCRED,C,B,VA,BAPT,2529,0.0,14,20,332,304,26017
