All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Academic Dean - Other,,,
Number,16,23,50
Average Salary,106164,98436,105185
Median Salary,92275,91256,105340
Average Salary and Housing,106976,99996,105257
Average Benefits,13304,14814,17921
Average Pension,6654,7547,9690
Total Average,126935,122356,132868
25th percentile,94757,91199,112721
Median,114458,114580,127765
75th percentile,143293,142128,155840
Dean of Chapel/Chaplain,,,
Number,13,9,6
Average Salary,84339,74666,73054
Median Salary,69839,76500,64800
Average Salary and Housing,89509,79111,87152
Average Benefits,15546,18658,12280
Average Pension,5757,7304,5174
Total Average,110812,105072,104606
25th percentile,73336,85476,63336
Median,91262,102411,64800
75th percentile,105548,123205,97820
Dean of Students,,,
Number,23,20,23
Average Salary,76737,85015,104162
Median Salary,88130,85411,107300
Average Salary and Housing,81965,88368,110927
Average Benefits,12369,13085,15934
Average Pension,6545,6909,10916
Total Average,100879,108362,137778
25th percentile,56011,77072,105943
Median,107100,109726,131250
75th percentile,130664,122217,146613
