col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Chief Executive Officer (CEO),,,,,,
Number,94,75,34,11,14,4
Average Salary,130857,182752,200859,233897,213531,-
Median Salary,111240,171738,187975,209500,224400,-
Average Salary and Housing,138350,193859,211670,233897,214866,-
Average Benefits,12203,15909,23690,24504,28172,-
Average Pension,8842,12098,14246,6735,17270,-
Total Compensation Average,159396,221866,249605,265136,260308,-
Total Compensation 25th Percentile,98423,139721,169600,121737,163220,-
Total Compensation Median,135840,215317,218669,231833,269796,-
Total Compensation 75th Percentile,224000,277630,313122,286649,302163,-
Chief Academic Officer (CAO),,,,,,
Number,76,73,36,9,12,4
Average Salary,88794,113528,127644,141840,128810,-
Median Salary,89634,111395,118451,142020,122400,-
Average Salary and Housing,91861,118132,131756,141840,133268,-
Average Benefits,10650,14047,13909,13975,18105,-
Average Pension,5432,8446,9422,4153,13542,-
Total Compensation Average,107942,140626,155088,159968,164914,-
Total Compensation 25th Percentile,75906,102788,119786,115000,109134,-
Total Compensation Median,106549,138932,143526,144736,139100,-
Total Compensation 75th Percentile,132176,168474,185729,201316,200341,-
Executive Vice President,,,,,,
Number,3,7,5,2,9,3
Average Salary,-,144640,139627,-,139878,-
Median Salary,-,150000,-,-,145000,-
Average Salary and Housing,-,146355,139627,-,139878,-
Average Benefits,-,13486,5495,-,17317,-
Average Pension,-,10838,5340,-,16030,-
Total Compensation Average,-,170679,150462,-,173225,-
Total Compensation 25th Percentile,-,113606,103876,-,124382,-
Total Compensation Median,-,178136,127993,-,180957,-
Total Compensation 75th Percentile,-,203879,137311,-,188504,-
VP-Administration,,,,,,
Number,11,12,6,2,6,3
Average Salary,97275,110289,126115,-,110468,-
Median Salary,100201,101990,101213,-,102000,-
Average Salary and Housing,101617,115039,143587,-,110468,-
Average Benefits,8887,18638,20712,-,16097,-
Average Pension,4947,11165,14436,-,10729,-
Total Compensation Average,115450,144843,178735,-,137294,-
Total Compensation 25th Percentile,89783,107614,118051,-,108590,-
Total Compensation Median,117286,151992,138032,-,112762,-
Total Compensation 75th Percentile,132916,167296,227571,-,186905,-
