"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Not Available,71,3376,88,4772,85,2332,107,10480
Orthodox Church in America,6,64,7,12,5,27,13,103
Orthodox Presbyterian,8,60,6,32,7,26,9,118
"Orthodox, Other",14,51,23,77,19,94,41,222
Other,136,2894,155,4166,147,3857,185,10917
Pentecostal Assemblies of Canada,9,48,14,122,11,54,16,224
"Pentecostal, Other",70,371,75,612,62,358,102,1341
Presbyterian Church (U.S.A.),65,427,57,210,73,522,99,1159
Presbyterian Church in America,32,541,40,466,32,315,51,1322
Presbyterian Church in Canada,9,44,11,34,10,39,14,117
Presbyterian Church International,8,16,4,9,4,11,8,36
"Presbyterian, Other",50,268,47,384,49,493,71,1145
Progressive National Baptist Convention,3,3,4,4,9,11,16,18
Reformed Church in America,16,59,13,36,22,77,31,172
Reformed Church in Canada,1,2,2,2,1,1,3,5
Reformed Episcopal Church,3,9,3,6,3,6,5,21
Reformed Presbyterian,12,42,14,43,9,24,21,109
"Reformed, Other",17,90,24,91,21,104,30,285
Religious Society of Friends,2,17,4,13,4,9,6,39
Roman Catholic,70,1879,91,2421,84,1449,128,5749
Salvation Army,7,23,9,26,6,10,13,59
Seventh Day Baptist General Conference,1,1,2,7,0,0,2,8
Seventh-day Adventist,26,516,31,862,32,426,60,1804
Southern Baptist Convention,49,3925,47,3563,43,3943,70,11431
"Swedenborgian Church, General Convention",1,1,0,0,1,1,2,2
The Foursquare Church,2,18,7,84,5,15,10,117
Ukrainian Orthodox Church of the USA,1,11,1,19,0,0,1,30
Union d'Eglises Baptistes Francaises au Canada,1,1,0,0,1,1,1,2
Unitarian Universalist,26,174,19,29,21,55,38,258
United Church of Canada,9,82,11,39,14,73,16,194
United Church of Christ,43,177,27,53,52,151,71,381
United Methodist Church,66,1101,60,360,73,659,94,2120
United Pentecostal Church International,6,29,11,68,9,42,17,139
Venture Church Network,2,5,2,19,1,2,3,26
Wesleyan Church,25,148,27,100,21,91,38,339
Wisconsin Evangelical Lutheran Synod,1,152,1,1,2,50,3,203
Total,257,26630,262,30300,250,24426,277,81356
