col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
"Director of Online Education/Distance Learning/Digital
Learning",,,,,,
Number,10,12,7,3,8,3
Average Salary,84014,85375,95676,-,79789,-
Median Salary,69000,83000,82800,-,80139,-
Average Salary and Housing,84014,85375,97414,-,80239,-
Average Benefits,3612,12641,12302,-,17545,-
Average Pension,4488,8474,6767,-,9621,-
Total Compensation Average,92115,106490,116482,-,107405,-
Total Compensation 25th Percentile,61000,68370,69584,-,68838,-
Total Compensation Median,69000,105410,99071,-,102303,-
Total Compensation 75th Percentile,117993,125580,109943,-,123814,-
Director of Recruitment/Retention,,,,,,
Number,2,6,2,1,3,1
Average Salary,-,82414,-,-,-,-
Median Salary,-,71509,-,-,-,-
Average Salary and Housing,-,82414,-,-,-,-
Average Benefits,-,11625,-,-,-,-
Average Pension,-,8776,-,-,-,-
Total Compensation Average,-,102815,-,-,-,-
Total Compensation 25th Percentile,-,82667,-,-,-,-
Total Compensation Median,-,88329,-,-,-,-
Total Compensation 75th Percentile,-,113819,-,-,-,-
"Director of Relations (Alum, External, Church)",,,,,,
Number,6,9,5,4,4,-
Average Salary,78325,83290,77907,-,-,-
Median Salary,59915,91225,-,-,-,-
Average Salary and Housing,78325,83290,77907,-,-,-
Average Benefits,6066,19852,13247,-,-,-
Average Pension,2060,3841,8250,-,-,-
Total Compensation Average,86451,106983,99403,-,-,-
Total Compensation 25th Percentile,74409,69329,72551,-,-,-
Total Compensation Median,77337,112957,95805,-,-,-
Total Compensation 75th Percentile,94000,130393,96743,-,-,-
Director of Student Services/Affairs,,,,,,
Number,20,22,13,6,5,4
Average Salary,63597,71768,73564,73258,54283,-
Median Salary,65000,71437,70000,73000,-,-
Average Salary and Housing,63826,72313,73564,73258,54283,-
Average Benefits,11142,7514,8397,16464,12043,-
Average Pension,3552,3875,6334,3180,6316,-
Total Compensation Average,78520,83702,88296,92902,72642,-
Total Compensation 25th Percentile,65287,68074,68936,73461,54148,-
Total Compensation Median,76619,80375,83523,94064,68055,-
Total Compensation 75th Percentile,85875,102929,105040,96952,73461,-
