col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Academic Dean - Other,,,,,,
Number,11,18,20,2,23,15
Average Salary,88819,91253,121760,-,109209,92320
Median Salary,80000,84635,115010,-,98465,93650
Average Salary and Housing,88819,93969,121760,-,109366,92320
Average Benefits,7067,16506,17634,-,15817,19286
Average Pension,5285,6643,11237,-,11317,5782
Total Compensation Average,101171,117118,150631,-,136500,117387
Total Compensation 25th Percentile,85066,94642,114458,-,113041,96817
Total Compensation Median,90128,114580,150149,-,126743,116234
Total Compensation 75th Percentile,112409,156274,176672,-,146710,133389
Dean of Chapel/Chaplain,,,,,,
Number,5,14,6,1,1,1
Average Salary,54993,72990,105759,-,-,-
Median Salary,-,69839,82681,-,-,-
Average Salary and Housing,60275,77904,121857,-,-,-
Average Benefits,8157,15140,21702,-,-,-
Average Pension,2139,7405,6590,-,-,-
Total Compensation Average,70571,100449,150149,-,-,-
Total Compensation 25th Percentile,35952,85476,92529,-,-,-
Total Compensation Median,78594,97069,103530,-,-,-
Total Compensation 75th Percentile,78885,123205,258366,-,-,-
Dean of Students,,,,,,
Number,12,25,14,6,7,4
Average Salary,62934,77940,106681,101002,97156,-
Median Salary,56590,87360,103592,86126,109323,-
Average Salary and Housing,68069,85460,113345,101002,97156,-
Average Benefits,8856,12019,16200,20184,13613,-
Average Pension,4412,8990,9152,6316,8711,-
Total Compensation Average,81336,106468,138697,127502,119480,-
Total Compensation 25th Percentile,36860,56011,106643,104715,69187,-
Total Compensation Median,83716,119021,117058,112316,131250,-
Total Compensation 75th Percentile,107100,147595,194251,170114,138125,-
Director/Chair of Academic Degree Program,,,,,,
Number,14,15,15,3,14,3
Average Salary,57915,83554,82109,-,78581,-
Median Salary,52020,73728,82400,-,69768,-
Average Salary and Housing,61086,84285,86852,-,78774,-
Average Benefits,4716,8702,15133,-,14716,-
Average Pension,2575,4981,5110,-,6954,-
Total Compensation Average,68377,97968,107096,-,100444,-
Total Compensation 25th Percentile,42952,72951,99695,-,84618,-
Total Compensation Median,66324,92047,103000,-,90967,-
Total Compensation 75th Percentile,89343,110400,117567,-,120521,-
