United States,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,167,337,516
2Average Salary,117444,95507,109820
2Median Salary,101500,94436,98400
3Average Salary and Housing,120133,99934,112139
4Average Benefits,14977,13476,16069
5Average Pension,6909,6475,8760
6Total Compensation Average,142019,119885,136967
Total Compensation 25th Percentile,102000,94467,108562
Total Compensation Median,123101,116112,127352
Total Compensation 75th Percentile,179000,140542,155556
Associate Professor,,,
1Number,106,208,341
2Average Salary,91760,83644,94359
2Median Salary,86460,82483,91225
3Average Salary and Housing,93727,85906,98237
4Average Benefits,14636,14920,15422
5Average Pension,5220,6223,7806
6Total Compensation Average,113584,107050,121466
Total Compensation 25th Percentile,91031,91467,97749
Total Compensation Median,109475,106471,114688
Total Compensation 75th Percentile,133458,121872,139025
Assistant Professor,,,
1Number,150,171,232
2Average Salary,73949,73222,74143
2Median Salary,72982,72361,72450
3Average Salary and Housing,77201,75204,76041
4Average Benefits,13740,12501,13221
5Average Pension,5187,5790,4882
6Total Compensation Average,96128,93496,94144
Total Compensation 25th Percentile,73650,72000,79166
Total Compensation Median,92000,93354,93356
Total Compensation 75th Percentile,113970,110409,107017
Not Ranked,,,
1Number,9,8,7
2Average Salary,110469,63663,86509
2Median Salary,75000,50000,76968
3Average Salary and Housing,110469,69250,86509
4Average Benefits,7826,15307,24162
5Average Pension,5587,5900,7204
6Total Compensation Average,123881,90458,117875
Total Compensation 25th Percentile,71786,50000,99399
Total Compensation Median,80102,62004,105831
Total Compensation 75th Percentile,209900,129712,136199
