Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,213,123,8,1483,560,107,294,8213,3364,213,294,12084
,MA (prof),73,77,2,615,639,7,105,3269,3304,35,105,6713
,MA (acad),98,53,5,885,561,55,326,3390,1999,111,326,5826
,MA (both),29,14,0,237,255,16,61,1211,961,22,61,2255
,Subtotal MA,200,144,7,1737,1455,78,492,7870,6264,168,492,14794
,ThM/STM,18,5,0,148,33,0,18,784,208,10,18,1020
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,47,28,1,360,125,3,109,2431,1022,24,109,3586
,Other Prof Dr,0,4,0,32,19,0,3,190,151,0,3,344
,"Subtotal DMin and
Other Prof Dr",47,32,1,392,144,3,112,2621,1173,24,112,3930
,PhD/ThD,33,16,4,356,167,5,192,1660,624,29,192,2505
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,43,41,0,467,331,15,113,2449,1654,44,113,4260
Total,,554,361,20,4583,2690,208,1221,23597,13287,488,1221,38593
