All Member Schools,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,195,346,530
2Average Salary,114648,94843,109891
2Median Salary,97233,92406,98700
3Average Salary and Housing,117411,99155,112149
4Average Benefits,13536,13194,15992
5Average Pension,6530,6381,8803
6Total Compensation Average,137477,118730,136944
Total Compensation 25th Percentile,100172,92375,108659
Total Compensation Median,118905,114732,126679
Total Compensation 75th Percentile,167024,140140,155683
Associate Professor,,,
1Number,144,234,355
2Average Salary,87118,81101,94362
2Median Salary,83230,80768,91011
3Average Salary and Housing,89453,83111,98087
4Average Benefits,11568,13605,15215
5Average Pension,4901,5951,7962
6Total Compensation Average,105921,102667,121263
Total Compensation 25th Percentile,86209,81875,97529
Total Compensation Median,101004,103523,114516
Total Compensation 75th Percentile,129585,119880,139424
Assistant Professor,,,
1Number,176,182,243
2Average Salary,72227,72138,74358
2Median Salary,70948,70567,72568
3Average Salary and Housing,75487,74001,76170
4Average Benefits,12229,11830,12958
5Average Pension,5077,5635,5161
6Total Compensation Average,92793,91466,94289
Total Compensation 25th Percentile,70948,69584,79342
Total Compensation Median,88848,91485,93490
Total Compensation 75th Percentile,110400,109897,107072
Not Ranked,,,
1Number,9,8,8
2Average Salary,110469,63663,79784
2Median Salary,75000,50000,74256
3Average Salary and Housing,110469,69250,79784
4Average Benefits,7826,15307,21142
5Average Pension,5587,5900,6304
6Total Compensation Average,123881,90458,107229
Total Compensation 25th Percentile,71786,50000,80780
Total Compensation Median,80102,62004,102102
Total Compensation 75th Percentile,209900,129712,136199
