"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,
,Degree Program,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total
Asian or PI,,,,,,,,,,,,,,,,,,,,,
,MDiv,1580,549,19,2148,1510,546,19,2075,1972,704,21,2697,2153,820,14,2987,2224,836,16,3076
,MA,1193,1203,9,2405,1140,1182,41,2363,1357,1541,16,2914,1619,1818,10,3447,1891,1964,7,3862
,ThM / STM,97,29,0,126,92,21,0,113,187,50,0,237,171,34,0,205,199,51,0,250
,DMin and Other Dr,931,195,1,1127,938,228,4,1170,1292,341,2,1635,1490,407,1,1898,1378,453,5,1836
,PhD / ThD,299,89,2,390,295,84,4,383,514,169,5,688,565,235,2,802,585,286,6,877
,Non-Degrees,295,312,0,607,303,296,3,602,363,328,6,697,401,353,1,755,547,470,6,1023
,Subtotal,4395,2377,31,6803,4278,2357,71,6706,5685,3133,50,8868,6399,3667,28,10094,6824,4060,40,10924
Black (Non-Hispanic),,,,,,,,,,,,,,,,,,,,,
,MDiv,2290,1970,32,4292,2157,1758,41,3956,2216,1663,14,3893,2323,1647,40,4010,2411,1715,41,4167
,MA,1335,1325,9,2669,1292,1361,17,2670,1468,1418,8,2894,1521,1555,14,3090,1559,1566,14,3139
,ThM / STM,55,17,0,72,36,12,0,48,68,21,0,89,66,21,0,87,80,24,1,105
,DMin and Other Dr,1246,1003,3,2252,1235,977,8,2220,1285,984,8,2277,1277,983,9,2269,1344,1009,18,2371
,PhD / ThD,165,94,1,260,173,102,3,278,226,115,3,344,232,121,9,362,234,124,2,360
,Non-Degrees,228,196,1,425,233,184,2,419,245,217,0,462,250,257,10,517,316,269,4,589
,Subtotal,5319,4605,46,9970,5126,4394,71,9591,5508,4418,33,9959,5669,4584,82,10335,5944,4707,80,10731
Hispanic,,,,,,,,,,,,,,,,,,,,,
,MDiv,1285,533,10,1828,1300,508,6,1814,1426,436,4,1866,1554,503,5,2062,1620,579,6,2205
,MA,1704,978,5,2687,1627,964,12,2603,1905,1034,5,2944,2177,1185,6,3368,2309,1316,9,3634
,ThM / STM,39,2,7,48,35,7,0,42,34,8,0,42,42,6,0,48,65,9,1,75
,DMin and Other Dr,487,125,0,612,504,150,1,655,604,152,0,756,779,209,1,989,821,253,3,1077
,PhD / ThD,117,42,0,159,187,49,0,236,203,51,1,255,255,72,2,329,258,69,1,328
,Non-Degrees,295,141,0,436,327,144,1,472,351,177,2,530,500,246,8,754,594,276,1,871
,Subtotal,3927,1821,22,5770,3980,1822,20,5822,4523,1858,12,6393,5307,2221,22,7550,5667,2502,21,8190
