col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Communications Staff,,,,,,
Number,12,22,16,7,7,1
Average Salary,68750,61017,74894,86292,72259,-
Median Salary,67560,62000,70134,101041,76000,-
Average Salary and Housing,68750,61017,74894,86292,72259,-
Average Benefits,9811,11507,12600,25054,9283,-
Average Pension,4650,5567,5369,5003,9257,-
Total Compensation Average,83211,78091,92863,116349,90799,-
Total Compensation 25th Percentile,65485,57269,65402,82892,51696,-
Total Compensation Median,77465,78635,88500,133115,93347,-
Total Compensation 75th Percentile,99981,92864,112750,142670,123789,-
Data Specialist,,,,,,
Number,2,8,5,1,1,-
Average Salary,-,51564,83268,-,-,-
Median Salary,-,49998,-,-,-,-
Average Salary and Housing,-,51564,83268,-,-,-
Average Benefits,-,6172,11288,-,-,-
Average Pension,-,2802,2992,-,-,-
Total Compensation Average,-,60539,97547,-,-,-
Total Compensation 25th Percentile,-,43770,58000,-,-,-
Total Compensation Median,-,51733,107520,-,-,-
Total Compensation 75th Percentile,-,70228,117877,-,-,-
Development Professional Staff,,,,,,
Number,16,40,33,4,19,4
Average Salary,71888,86966,102917,-,62725,-
Median Salary,68979,83280,90000,-,68000,-
Average Salary and Housing,71888,86966,102917,-,62725,-
Average Benefits,8379,16088,11877,-,7758,-
Average Pension,4499,7433,7129,-,7552,-
Total Compensation Average,84767,110486,121923,-,78035,-
Total Compensation 25th Percentile,67586,88573,84141,-,58204,-
Total Compensation Median,83747,110172,112459,-,72125,-
Total Compensation 75th Percentile,86564,130829,143500,-,93655,-
Educational Technology Staff,,,,,,
Number,-,8,6,3,1,-
Average Salary,-,69251,64952,-,-,-
Median Salary,-,72000,60000,-,-,-
Average Salary and Housing,-,69251,64952,-,-,-
Average Benefits,-,17499,11532,-,-,-
Average Pension,-,6155,4060,-,-,-
Total Compensation Average,-,92905,80543,-,-,-
Total Compensation 25th Percentile,-,62485,67266,-,-,-
Total Compensation Median,-,91232,69602,-,-,-
Total Compensation 75th Percentile,-,95701,89498,-,-,-
