Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,147,109,4,819,335,21,182,6231,2683,85,182,9181
,MA (prof),55,58,1,374,437,4,60,2536,2674,10,60,5280
,MA (acad),69,47,4,475,334,21,106,2406,1532,55,106,4099
,MA (both),27,10,0,173,171,8,51,943,780,12,51,1786
,Subtotal MA,151,115,5,1022,942,33,217,5885,4986,77,217,11165
,ThM/STM,14,4,0,76,13,0,15,516,148,5,15,684
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,39,20,0,232,65,2,73,1977,809,20,73,2879
,Other Prof Dr,0,5,0,27,14,0,0,163,134,0,0,297
,"Subtotal DMin and
Other Prof Dr",39,25,0,259,79,2,73,2140,943,20,73,3176
,PhD/ThD,13,5,0,111,48,0,19,648,235,12,19,914
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,34,29,0,383,264,7,75,2081,1417,28,75,3601
Total,,398,287,9,2670,1681,63,581,17501,10412,227,581,28721
