All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Accounting Staff,,,
Number,10,16,22
Average Salary,51557,72128,73079
Median Salary,54120,66188,68000
Average Salary and Housing,51557,72128,73079
Average Benefits,3808,12815,13572
Average Pension,2245,7236,6667
Total Average,57609,92179,93318
25th percentile,50202,65560,73909
Median,58240,81692,81553
75th percentile,76258,104196,112598
Admissions Officer,,,
Number,22,42,32
Average Salary,60361,60538,66930
Median Salary,50923,55167,62593
Average Salary and Housing,60361,61692,66930
Average Benefits,7081,11012,11371
Average Pension,3565,5190,6618
Total Average,71007,77895,84919
25th percentile,50353,61171,57977
Median,58656,71652,80231
75th percentile,81554,87185,112152
Alum Officer,,,
Number,3,8,6
Average Salary,-,87235,72769
Median Salary,-,76498,71256
Average Salary and Housing,-,94521,72769
Average Benefits,-,12037,9119
Average Pension,-,7085,4785
Total Average,-,113643,86672
25th percentile,-,78654,80622
Median,-,102000,85857
75th percentile,-,137777,96852
