col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Trinity Lutheran Seminary at Capital University,ACCRED,U,B,OH,ELCA,2899,42.9,4,5,48,25,15718
Tyndale Seminary of Tyndale University,ACCRED,C,W,ON,INTER,23636,0.0,20,42,847,502,44307
Union Presbyterian Seminary,ACCRED,I,W,VA,PCUSA,16660,190.9,20,21,140,97,13950
Union Theological Seminary,ACCRED,I,W,NY,INTER,32385,145.9,20,31,257,234,31472
United Lutheran Seminary,ACCRED,I,W,PA,ELCA,18534,129.7,13,13,257,159,31000
United Theological Seminary,ACCRED,I,B,OH,UMC,11289,13.8,10,11,510,537,17400
United Theological Seminary of the Twin Cities,ACCRED,I,W,MN,UCC,4791,11.8,6,10,242,121,21060
University of Chicago Divinity School,ACCRED,U,W,IL,NONDEN,31014,92.3,46,46,231,9,36315
University of Dayton Department of Religious Studies,ASSOC,U,W,OH,RC,324,0.0,6,8,35,24,0
University of Dubuque Theological Seminary,ACCRED,C,W,IA,PCUSA,4282,30.3,9,9,248,99,860
University of Northwestern-St. Paul School of Theology and Ministry,ASSOC,U,W,MN,NONDEN,467,32.9,0,2,37,18,14880
University of Notre Dame Department of Theology,ACCRED,U,W,IN,RC,0,0.0,55,55,297,261,67454
University of St. Mary of the Lake Mundelein Seminary,ACCRED,I,W,IL,RC,20351,51.2,16,29,191,185,35628
University of St. Michael's College Faculty of Theology,ACCRED,U,W,ON,RC,4361,34.6,0,0,84,92,8220
University of the South School of Theology,ACCRED,C,W,TN,EPISC,10506,0.0,11,12,139,80,20500
Urshan Graduate School of Theology,ACCRED,I,W,MO,UPENTCI,1416,1.1,3,7,112,58,9400
Vancouver School of Theology,ACCRED,I,N,BC,INTER,5234,0.0,5,10,194,93,9850
Vanderbilt University Divinity School,ACCRED,U,W,TN,INTER,16034,257.9,24,26,188,193,34264
Villanova University Department of Theology and Religious Studies,ACCRED,U,N,PA,RC,171,0.0,33,33,81,44,0
Virginia Theological Seminary,ACCRED,I,W,VA,EPISC,30856,667.1,16,16,175,134,7200
Wake Forest University School of Divinity,ACCRED,U,W,NC,INTER,5477,27.7,11,11,84,77,21600
Wartburg Theological Seminary,ACCRED,I,W,IA,ELCA,9343,51.2,9,12,193,157,22266
Washington University of Virginia - Neal T. Jones Seminary,ACCRED,C,M,VA,NONDEN,2493,0.0,4,15,94,74,6310
Wesley Biblical Seminary,ACCRED,I,W,MS,INTER,2694,5.8,5,9,174,82,15450
Wesley Seminary,ACCRED,U,W,IN,WESLCH,4705,9.9,7,28,468,280,8314
Wesley Theological Seminary,ACCRED,I,N,DC,UMC,18474,59.0,11,11,410,275,14924
Western Seminary,ACCRED,I,W,OR,VENCHNET,9276,3.5,9,20,726,316,11927
Western Theological Seminary,ACCRED,I,W,MI,RFCHAM,11637,52.4,14,22,415,277,17455
Westminster Theological Seminary,ACCRED,I,W,PA,INTER,29974,39.5,8,38,1354,465,44733
Westminster Theological Seminary in California,ACCRED,I,W,CA,NONDEN,7065,15.3,11,12,98,107,15975
Winebrenner Theological Seminary,ACCRED,I,W,OH,COGGC,1558,2.9,6,6,127,63,3600
Wisconsin Lutheran Seminary,ACCRED,I,W,WI,WIEVLS,9672,6.2,15,15,191,522,14240
World Mission University School of Theology,ACCRED,C,A,CA,NONDEN,4573,0.6,5,15,284,218,6000
Wycliffe College,ACCRED,I,W,ON,ANGL,6430,31.9,8,14,215,139,8470
Yale Divinity School,ACCRED,U,W,CT,INTER,46254,631.3,45,54,287,280,30576
