Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, All Member Schools",,,,,,
Expenditures,,2020-21,2021-22,2022-23,2023-24,2024-25
,Instruction,7599,7957,8871,9227,9115
,Research,138,272,290,370,493
,Public Service,211,238,348,648,819
,Library,879,884,918,990,953
,Academic Support,1704,1660,2102,1953,1958
,Student Services,1132,1270,1376,1531,1606
,Admissions,478,493,516,597,576
,Institutional Support,5110,5509,5935,6420,7021
,Operation and Maintenance of Plant,2686,2794,3057,3296,3610
,Scholarships and Fellowships,3487,3602,3758,4077,4203
,Auxiliary Enterprises,1725,1860,2093,2259,2239
,Total Expenditures,25151,26538,29266,31367,32594
"Full-time Equivalent Student, All Member Schools",,,,,,
Expenditures,,2020-21,2021-22,2022-23,2023-24,2024-25
,Instruction,11975,12967,14426,15154,14967
,Research,218,443,472,607,809
,Public Service,333,387,566,1064,1345
,Library,1386,1441,1493,1625,1565
,Academic Support,2685,2705,3419,3208,3215
,Student Services,1784,2070,2237,2514,2638
,Admissions,753,803,839,981,946
,Institutional Support,8052,8978,9652,10544,11528
,Operation and Maintenance of Plant,4233,4553,4972,5414,5927
,Scholarships and Fellowships,5496,5870,6112,6696,6902
,Auxiliary Enterprises,2719,3032,3404,3710,3677
,Total Expenditures,39634,43250,47592,51517,53521
