Code,Church/Denomination
LUTHCA,Lutheran Church-Canada
LUTHMS,Lutheran Church-Missouri Synod
LUTHCONGMC,Lutheran Congregations in Mission for Christ
LUTHOTH,"Lutheran, Other"
MBNA,Mennonite Brethren Church in North America
MNCHCA,Mennonite Church Canada
MBUS,Mennonite Church USA
MENOTH,"Mennonite, Other"
METHOTH,"Methodist, Other"
MISSCC,Missionary Church in Canada
MORAVV,Moravian Church in North America
MUSLIM,Muslim
CCONCC,National Association of Congregational Christian Churches
NTLBCVAM,"National Baptist Convention of America, Intl. Inc."
NTLBCVUS,"National Baptist Convention, USA Inc."
NONDEN,Nondenominational
NABAPC,North American Baptist Conference
NALUTHCH,North American Lutheran Church
NA,Not Available
OCA,Orthodox Church in America
OXPRES,Orthodox Presbyterian
OXOTHR,"Orthodox, Other"
OTHER,Other
PENTAC,Pentecostal Assemblies of Canada
PENTACOTH,"Pentecostal, Other"
PCUSA,Presbyterian Church (U.S.A.)
PCA,Presbyterian Church in America
PCC,Presbyterian Church in Canada
PCINT,Presbyterian Church International
PRESBYOTH,"Presbyterian, Other"
PNTLBCV,Progressive National Baptist Convention
RFCHAM,Reformed Church in America
RFCHCA,Reformed Church in Canada
RFEPISC,Reformed Episcopal Church
RFPRES,Reformed Presbyterian
RFOTHR,"Reformed, Other"
FRNDS,Religious Society of Friends
FRNDSOTH,"Religious Society of Friends, Other"
RC,Roman Catholic
SALVAR,Salvation Army
SDBGCF,Seventh Day Baptist General Conference
SDADV,Seventh-day Adventist
