"Table 2.11 Head Count Enrollment by Degree Program, Age, and Gender, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,Under 25,,,25 - 29,,,30 - 34,,,35 - 39,,,40 - 49,,
,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,2474,779,11,4504,1046,44,3042,811,54,2593,808,27,3358,1738,54
MA (prof),531,881,1,986,1285,2,896,807,1,960,862,4,1708,1884,8
MA (acad),557,532,12,1097,641,20,967,454,10,925,423,7,1458,878,7
MA (both),144,179,2,301,221,6,328,196,6,347,203,2,580,479,3
Subtotal MA,1232,1592,15,2384,2147,28,2191,1457,17,2232,1488,13,3746,3241,18
ThM/STM,17,3,1,116,35,0,185,48,2,181,26,1,228,40,1
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,17,3,0,138,37,2,496,129,3,867,210,10,2585,780,24
Other Prof Dr,0,0,0,20,24,0,54,41,0,106,57,0,243,195,0
"Subtotal DMin and
Other Prof Dr",17,3,0,158,61,2,550,170,3,973,267,10,2828,975,24
PhD/ThD,19,7,0,279,106,5,515,161,8,636,168,11,1066,361,6
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,386,202,4,415,209,7,473,223,4,546,238,6,814,567,10
Total,4145,2586,31,7856,3604,86,6956,2870,88,7161,2995,68,12040,6922,113
,50 - 64,,,65 and Over,,,Not Reported,,,,Total,,,,Grand
,M,F,O,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,2271,1790,21,350,316,4,105,45,7,378,18697,7333,222,378,26630
MA (prof),1592,1901,5,260,319,0,82,89,1,97,7015,8028,22,97,15162
MA (acad),1357,856,6,302,218,1,43,20,0,34,6706,4022,63,34,10825
MA (both),480,441,2,109,110,2,32,16,0,123,2321,1845,23,123,4312
Subtotal MA,3429,3198,13,671,647,3,157,125,1,254,16042,13895,108,254,30299
ThM/STM,153,42,1,35,11,1,86,9,0,13,1001,214,7,13,1235
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,2473,1207,14,498,419,9,105,13,0,61,7179,2798,62,61,10100
Other Prof Dr,261,245,0,54,48,0,41,18,0,1,779,628,0,1,1408
"Subtotal DMin and
Other Prof Dr",2734,1452,14,552,467,9,146,31,0,62,7958,3426,62,62,11508
PhD/ThD,694,288,7,110,47,0,78,36,0,3,3397,1174,37,3,4611
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,919,737,6,309,273,4,383,202,2,141,4245,2651,43,141,7080
Total,10200,7507,62,2027,1761,21,955,448,10,851,51340,28693,479,851,81363
"Data on age/enrollment are only collected in odd-numbered years. Data shown here are from the school year beginning in Fall
Gender legend: Male (M), Female (F), Other known (O), Unknown (U), see appendix for further definition.",,,,,,,,,,,,,,,
