"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,
,Degree Program,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total,M,F,O/U,Total
Not Available,,,,,,,,,,,,,,,,,,,,,
,MDiv,1861,939,86,2886,1868,816,167,2851,2154,830,372,3356,1988,682,442,3112,2026,716,396,3138
,MA,1743,1792,67,3602,1817,1742,125,3684,2363,2126,195,4684,2186,1963,369,4518,2227,2106,283,4616
,ThM / STM,198,45,5,248,149,43,7,199,224,69,22,315,178,54,8,240,155,33,14,202
,DMin and Other Dr,986,319,5,1310,970,325,37,1332,1338,406,65,1809,1005,380,71,1456,927,360,74,1361
,PhD / ThD,200,50,1,251,225,45,2,272,507,166,16,689,455,150,110,715,464,185,18,667
,Non-Degrees,555,415,75,1045,480,362,55,897,628,475,115,1218,742,503,164,1409,850,536,163,1549
,Subtotal,5543,3560,239,9342,5509,3333,393,9235,7214,4072,785,12071,6554,3732,1164,11450,6649,3936,948,11533
Visa,,,,,,,,,,,,,,,,,,,,,
,MDiv,1747,436,5,2188,1766,467,36,2269,0,0,0,0,0,0,0,0,0,0,0,0
,MA,1059,811,22,1892,1260,839,35,2134,0,0,0,0,0,0,0,0,0,0,0,0
,ThM / STM,194,40,6,240,221,48,5,274,0,0,0,0,0,0,0,0,0,0,0,0
,DMin and Other Dr,930,202,0,1132,1079,232,5,1316,0,0,0,0,0,0,0,0,0,0,0,0
,PhD / ThD,609,202,4,815,620,223,5,848,0,0,0,0,0,0,0,0,0,0,0,0
,Non-Degrees,184,73,4,261,193,65,5,263,0,0,0,0,0,0,0,0,0,0,0,0
,Subtotal,4723,1764,41,6528,5139,1874,91,7104,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,
,MDiv,19962,8867,271,29100,19208,8075,426,27709,18255,7332,559,26146,18302,7131,644,26077,18697,7335,598,26630
,MA,14615,12828,147,27590,14638,12717,441,27796,14867,12877,280,28024,15452,13513,470,29435,16042,13895,362,30299
,ThM / STM,1091,222,20,1333,1072,225,18,1315,1044,233,24,1301,976,196,11,1183,1001,214,20,1235
,DMin and Other Dr,8212,3006,17,11235,8465,3167,70,11702,8077,3141,89,11307,8085,3300,109,11494,7958,3427,123,11508
,PhD / ThD,3054,953,10,4017,3134,963,16,4113,3191,975,32,4198,3278,1056,137,4471,3397,1174,40,4611
,Non-Degrees,2736,1918,92,4746,2800,1813,81,4694,2932,2153,134,5219,3675,2469,202,6346,4245,2652,184,7081
Total,,49670,27794,557,78021,49317,26960,1052,77329,48366,26711,1118,76195,49768,27665,1573,79006,51340,28697,1327,81364
"O/U includes those reported as Unknown and All Other, see the appendix for further definition.",,,,,,,,,,,,,,,,,,,,,
