Table 4.4 Expenditures as a Percent of Total Expenditures,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24
Instruction,31%,30%,30%,30%,29%
Research,0%,1%,1%,1%,1%
Public Service,1%,1%,1%,1%,2%
Library,4%,3%,3%,3%,3%
Academic Support,6%,7%,6%,7%,6%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,21%,20%,21%,21%,21%
Operation and Maintenance of Plant,11%,11%,11%,11%,11%
Scholarships and Fellowships,13%,14%,14%,13%,13%
Auxiliary Enterprises,7%,7%,7%,7%,7%
United States,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24
Instruction,30%,30%,29%,30%,29%
Research,0%,1%,1%,1%,1%
Public Service,1%,1%,1%,1%,2%
Library,4%,3%,3%,3%,3%
Academic Support,7%,7%,6%,7%,6%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,21%,20%,21%,21%,21%
Operation and Maintenance of Plant,11%,10%,10%,11%,11%
Scholarships and Fellowships,13%,14%,14%,13%,13%
Auxiliary Enterprises,7%,7%,7%,7%,7%
Canada,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24
Instruction,36%,37%,37%,36%,36%
Research,0%,0%,0%,0%,1%
Public Service,1%,1%,1%,1%,1%
Library,4%,5%,4%,4%,4%
Academic Support,3%,2%,2%,3%,3%
Student Services,2%,2%,2%,2%,2%
Admissions,4%,4%,4%,4%,4%
Institutional Support,21%,21%,20%,21%,20%
Operation and Maintenance of Plant,17%,16%,16%,16%,16%
Scholarships and Fellowships,6%,8%,7%,7%,7%
Auxiliary Enterprises,6%,6%,6%,7%,7%
