col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Registrar,,,,,,
Number,54,50,24,4,13,4
Average Salary,62424,68198,74064,-,64819,-
Median Salary,63084,67210,72000,-,65360,-
Average Salary and Housing,62424,68198,74064,-,64819,-
Average Benefits,8162,10867,8343,-,5018,-
Average Pension,4630,4766,5846,-,3965,-
Total Compensation Average,75216,83831,88253,-,73802,-
Total Compensation 25th Percentile,59347,67243,69905,-,52915,-
Total Compensation Median,74519,82284,80633,-,68016,-
Total Compensation 75th Percentile,89744,96243,105000,-,77998,-
Professor,,,,,,
Number,195,298,246,77,199,106
Average Salary,85701,88892,132833,126314,98161,93372
Median Salary,85788,90798,118014,101420,86952,88544
Average Salary and Housing,89803,93291,135285,128507,101410,93638
Average Benefits,7913,13257,10521,16472,14476,18092
Average Pension,5405,6811,6356,8039,11575,7522
Total Compensation Average,103121,113359,152163,153018,127461,119252
Total Compensation 25th Percentile,85934,90000,114537,101000,103939,102565
Total Compensation Median,99661,117666,143843,124746,113583,111655
Total Compensation 75th Percentile,120094,140638,186002,187835,143669,137664
Associate Professor,,,,,,
Number,136,191,174,48,120,36
Average Salary,78067,79258,97074,90214,87288,81147
Median Salary,79909,80340,92759,86225,82104,79414
Average Salary and Housing,81241,82997,100378,92282,90817,81147
Average Benefits,8502,12670,10320,14180,12855,14675
Average Pension,5882,6857,4581,6110,9977,7487
Total Compensation Average,95625,102524,115280,112573,113650,103309
Total Compensation 25th Percentile,78000,83633,90664,90810,87522,94297
Total Compensation Median,93306,102402,112530,107348,108923,100851
Total Compensation 75th Percentile,111091,118709,140000,138171,129331,114308
Assistant Professor,,,,,,
Number,149,190,113,49,56,56
Average Salary,66265,69972,71222,77398,78978,70145
Median Salary,62400,70930,75000,69995,70000,70454
Average Salary and Housing,69497,72332,72319,77959,79657,70145
Average Benefits,8784,12545,9266,10692,12200,16022
Average Pension,5611,5867,4308,3357,8284,4014
Total Compensation Average,83893,90743,85893,92009,100140,90182
Total Compensation 25th Percentile,65195,73748,68292,72026,81648,78051
Total Compensation Median,77968,90503,93490,81652,93800,92162
Total Compensation 75th Percentile,99679,105033,105483,105719,105178,104984
