col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
IT Help Desk Support,,,,,,
Number,4,5,5,-,2,-
Average Salary,-,57501,63049,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,57501,63049,-,-,-
Average Benefits,-,16935,8671,-,-,-
Average Pension,-,6934,5420,-,-,-
Total Compensation Average,-,81370,77140,-,-,-
Total Compensation 25th Percentile,-,42792,51475,-,-,-
Total Compensation Median,-,93646,73896,-,-,-
Total Compensation 75th Percentile,-,101738,74662,-,-,-
Library Staff,,,,,,
Number,24,54,31,17,20,1
Average Salary,56183,61944,69573,76282,60983,-
Median Salary,58367,61800,64755,68289,62220,-
Average Salary and Housing,56183,61944,69573,76282,60983,-
Average Benefits,7503,13883,11106,13328,11145,-
Average Pension,4265,5906,6238,7780,5263,-
Total Compensation Average,67950,81733,86917,97390,77392,-
Total Compensation 25th Percentile,46416,67188,60882,76811,55729,-
Total Compensation Median,64787,82131,80264,89117,77672,-
Total Compensation 75th Percentile,83773,96739,103691,115797,94356,-
Network Administrator,,,,,,
Number,2,7,1,-,4,-
Average Salary,-,70360,-,-,-,-
Median Salary,-,72750,-,-,-,-
Average Salary and Housing,-,70360,-,-,-,-
Average Benefits,-,17643,-,-,-,-
Average Pension,-,5316,-,-,-,-
Total Compensation Average,-,93320,-,-,-,-
Total Compensation 25th Percentile,-,72128,-,-,-,-
Total Compensation Median,-,102241,-,-,-,-
Total Compensation 75th Percentile,-,104112,-,-,-,-
Recruitment Staff,,,,,,
Number,12,17,7,2,1,1
Average Salary,51960,66496,66534,-,-,-
Median Salary,45320,62848,61800,-,-,-
Average Salary and Housing,51960,66496,66534,-,-,-
Average Benefits,2128,11107,7463,-,-,-
Average Pension,2798,4782,4044,-,-,-
Total Compensation Average,56886,82385,78042,-,-,-
Total Compensation 25th Percentile,43837,60907,63648,-,-,-
Total Compensation Median,50026,77389,66555,-,-,-
Total Compensation 75th Percentile,67000,101625,87000,-,-,-
