All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Assessment,,,
Number,10,9,10
Average Salary,73170,70479,65994
Median Salary,65454,75000,66300
Average Salary and Housing,73170,70479,65994
Average Benefits,2665,7540,8174
Average Pension,4573,3888,7429
Total Average,80408,81907,81598
25th percentile,59249,58000,70620
Median,65454,83736,77302
75th percentile,111645,96515,97289
Business Office Manager,,,
Number,10,22,16
Average Salary,62625,77496,86793
Median Salary,60343,73584,71232
Average Salary and Housing,62625,77496,86793
Average Benefits,9120,8458,9631
Average Pension,3574,3815,6049
Total Average,75319,89769,102474
25th percentile,47417,68000,77114
Median,73416,79499,86093
75th percentile,106103,115000,118086
Director of Communications,,,
Number,9,14,14
Average Salary,92900,85944,87202
Median Salary,92289,84048,74024
Average Salary and Housing,92900,88515,87202
Average Benefits,13367,12625,11749
Average Pension,6670,9339,7225
Total Average,112936,110480,106176
25th percentile,59999,85000,73221
Median,103203,97249,101561
75th percentile,153000,120491,136935
