All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2023,10541,13230,1016,3415,2120,2854
,2024,11983,15402,1237,4375,2426,3913
Acceptances,,,,,,,
2023,,8516,10385,704,2763,847,2520
,% of applicants,81%,79%,69%,81%,40%,88%
2024,,8358,10663,742,3110,927,3301
,% of applicants,70%,69%,60%,71%,38%,84%
New Enrollments,,,,,,,
2023,,5810,7424,504,2125,633,1787
,% of acceptances,68%,72%,72%,77%,75%,71%
2024,,5871,7722,509,2544,662,2552
,% of acceptances,70%,72%,69%,82%,71%,77%
