"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Advent Christian Church,2,2,3,3,3,3,7,8
African Methodist Episcopal,53,237,20,42,43,130,68,409
African Methodist Episcopal Zion,9,48,7,12,11,50,18,110
American Baptist Churches USA,36,167,31,74,40,160,57,401
Anglican Church of Canada,12,90,15,63,21,64,24,217
"Anglican, Other",42,179,48,262,44,236,69,677
Antiochian Orthodox Christian Archdiocese of North America,4,56,3,11,3,151,5,218
Assemblies of God,63,294,71,547,57,376,95,"1,217"
Associate Reformed Presbyterian Church,9,32,7,15,9,30,14,77
Associated Gospel Churches of Canada,3,15,7,14,6,27,9,56
Augsburg Lutheran Churches,0,0,1,1,1,3,2,4
Baptist,101,763,113,"1,052",101,932,138,"2,747"
Baptist Convention of Ontario and Quebec,5,18,3,17,8,41,9,76
Baptist General Association of Virginia,4,6,1,3,1,1,4,10
Baptist General Convention of Texas,3,112,4,102,2,55,4,269
Baptist Missionary Association of America,19,52,15,47,15,40,31,139
Baptist State Convention of North Carolina,2,2,0,0,2,2,3,4
"Baptist, Other",51,468,45,585,44,582,65,"1,635"
"Brethren Church (Ashland, Ohio)",1,2,1,8,1,5,1,15
Brethren in Christ Church,5,10,6,16,5,9,10,35
"Brethren, Other",7,25,9,40,12,27,18,92
Buddhist,13,60,8,59,9,18,21,137
Byzantine Catholic,3,16,5,25,3,14,6,55
Canadian Association of Lutheran Congregations,0,0,1,1,1,2,1,3
Canadian Baptists of Atlantic Canada,1,29,2,12,2,40,2,81
Canadian Baptists of Western Canada,3,5,6,15,6,8,9,28
Canadian National Baptist Convention,2,10,4,8,3,4,7,22
Canadian Reformed Churches,2,15,5,10,4,7,8,32
"Catholic, Other",12,138,11,249,7,23,20,410
Christian and Missionary Alliance,36,164,44,294,47,236,63,694
Christian Brethren (Plymouth Brethren),4,9,4,10,5,9,9,28
Christian Church (Disciples of Christ),43,169,34,108,44,167,73,444
Christian Churches and Churches of Christ,16,72,17,93,13,35,27,200
Christian Methodist Episcopal,17,47,8,10,13,30,23,87
Christian Reformed Church,24,121,24,102,28,109,41,332
"Church of God (Anderson, Indiana)",10,31,16,45,14,25,26,101
"Church of God (Cleveland, Tennessee)",8,49,15,141,9,147,19,337
Church of God in Christ,30,60,14,74,17,34,39,168
Church of the Brethren,2,15,6,10,6,12,11,37
Church of the Nazarene,19,118,25,97,24,144,45,359
Churches of Christ,31,208,32,238,29,114,53,560
"Churches of Christ-Christian Churches, Other",4,8,7,25,8,24,14,57
"Churches of God, General Conference",11,29,13,56,14,48,21,133
Conference of Mennonites,1,1,1,1,1,2,2,4
Convention of Atlantic Baptist Churches,1,1,0,0,2,3,2,4
Converge Worldwide,8,21,7,30,7,20,11,71
Cooperative Baptist Fellowship,14,65,11,26,16,53,21,144
Cumberland Presbyterian Church,4,18,1,1,5,12,7,31
ECO: A Covenant Order of Evangelical Presbyterians,5,20,3,15,4,13,6,48
