All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Doctor of Ministry,,,
Number,-,10,12
Average Salary,-,"75,091","83,087"
Median Salary,-,"78,344","81,120"
Average Salary and Housing,-,"75,091","85,382"
Average Benefits,-,"7,831","11,178"
Average Pension,-,"5,455","5,013"
Total Average,-,"88,377","101,573"
25th percentile,-,"62,400","87,570"
Median,-,"88,742","100,210"
75th percentile,-,"109,988","110,776"
Director of Enrollment Management,,,
Number,3,15,10
Average Salary,-,"96,323","99,026"
Median Salary,-,"78,000","90,177"
Average Salary and Housing,-,"96,323","99,026"
Average Benefits,-,"11,102","11,430"
Average Pension,-,"6,939","10,867"
Total Average,-,"114,364","121,323"
25th percentile,-,"73,279","102,488"
Median,-,"92,582","114,139"
75th percentile,-,"114,360","133,380"
Facilities Director,,,
Number,9,10,17
Average Salary,"84,006","77,336","93,035"
Median Salary,"75,000","78,280","83,667"
Average Salary and Housing,"84,006","80,936","93,974"
Average Benefits,"13,119","17,606","13,517"
Average Pension,"5,726","8,094","7,383"
Total Average,"102,852","106,637","114,873"
25th percentile,"57,807","94,445","86,819"
Median,"92,033","105,824","107,539"
75th percentile,"105,726","118,379","133,603"
