Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,68,37,3,404,168,1,16,3696,1657,48,16,5417
MA (prof),,31,41,1,254,273,0,9,1915,1966,7,9,3897
MA (acad),,43,32,0,250,158,0,7,1836,1109,12,7,2964
MA (both),,11,10,0,134,138,1,11,692,517,15,11,1235
Subtotal MA,,85,83,1,638,569,1,27,4443,3592,34,27,8096
ThM/STM,,8,1,1,55,27,1,3,406,96,2,3,507
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,17,10,0,221,53,0,7,1528,594,9,7,2138
Other Prof Dr,,1,2,0,21,14,0,0,149,86,0,,235
"Subtotal DMin and Other
Prof Dr",,18,12,0,242,67,0,7,1677,680,9,7,2373
PhD/ThD,,5,2,0,71,16,0,0,361,111,0,,472
Total,,184,135,5,1410,847,3,53,10583,6136,93,53,16865
