Code,Church/Denomination
CHNAZ,Church of the Nazarene
CHUCHR,Churches of Christ
CHUCHROTH,"Churches of Christ-Christian Churches, Other"
COGGC,"Churches of God, General Conference"
CFMENI,Conference of Mennonites
CONVATLBAP,Convention of Atlantic Baptist Churches
BAPTCW,Converge Worldwide
CBF,Cooperative Baptist Fellowship
PCCUM,Cumberland Presbyterian Church
ECOPRESBY,ECO: A Covenant Order of Evangelical Presbyterians
EPISC,Episcopal Church
EVCHCA,Evangelical Church in Canada
EVCONG,Evangelical Congregational Church
EVCOV,Evangelical Covenant Church
EVFORM,Evangelical Formosan Church
EFCA,Evangelical Free Church of America
EVFRCC,Evangelical Free Church of Canada
ELCA,Evangelical Lutheran Church in America
ELCC,Evangelical Lutheran Church in Canada
EVPRCH,Evangelical Presbyterian Church
FEVBAPT,Fellowship of Evangelical Baptist Churches in Canada
FEGRACE,Fellowship of Grace Brethren Churches
FSQGCH,Foursquare Gospel Church
FRMECH,Free Methodist Church
FRNDQKR,"Friends, Quaker"
GENASWPC,General Assembly of World Presbyterian Church
GENBAPT,General Association of General Baptists
BAPTREG,General Association of Regular Baptist Churches
GBAPTNC,General Baptist State Convention of North Carolina
GCNJER,General Church of New Jerusalem
GLMECH,Global Methodist Church
GRORTH,Greek Orthodox Archdiocese of America
HERREF,Heritage Reformed Congregations (USA and Canada)
INDBAP,Independent Baptist
INMECH,Independent Methodist
INTER,Inter/Multidenominational
JEWISH,Jewish
KAPC,Korean American Presbyterian Church
KEHC,Korean Evangelical Holiness Church
KMCA,Korean Methodist Church in America
KPCA,Korean Presbyterian Church Abroad
KPCAK,Korean Presbyterian Church in America (Kosin)
