All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Academic Dean - Other,,,
Number,15,22,46
Average Salary,105959,97785,104507
Median Salary,99840,85170,102272
Average Salary and Housing,106759,100661,104507
Average Benefits,11328,16151,18444
Average Pension,7328,6885,8958
Total Average,125415,123697,131910
25th percentile,91986,93331,110699
Median,114853,105524,126743
75th percentile,147147,149701,159262
Dean of Chapel/Chaplain,,,
Number,12,8,6
Average Salary,63113,76079,85731
Median Salary,56000,76773,80000
Average Salary and Housing,67714,81079,90731
Average Benefits,9343,17501,9321
Average Pension,3871,9164,5797
Total Average,80927,107744,105848
25th percentile,59228,88199,60056
Median,72998,108689,94822
75th percentile,90423,120340,135365
Dean of Students,,,
Number,22,20,21
Average Salary,79841,86780,95472
Median Salary,75515,86656,91728
Average Salary and Housing,84967,90433,98700
Average Benefits,13356,8134,15713
Average Pension,6496,6302,9040
Total Average,104820,104868,123453
25th percentile,59391,74403,94877
Median,102000,101561,110795
75th percentile,134553,125412,135268
