Membership Status,col_1,2015,2020,2023,2024
Accredited,United States,212,224,224,228
,Canada,36,34,35,35
,Total,248,258,259,263
Candidate,United States,13,5,0,0
,Canada,2,1,0,0
,Total,15,6,0,0
Associate,United States,9,8,13,17
,Canada,3,3,2,1
,Total,12,11,15,18
Totals,United States,234,237,237,245
,Canada,41,38,37,36
,All Schools,275,275,274,281
