"Table 2.11 Head Count Enrollment by Degree Program, Age, and Gender, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,Under 25,,,25 - 29,,,30 - 34,,,35 - 39,,,40 - 49,,
,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,2511,761,18,4663,1190,48,3046,799,43,2357,809,71,3130,1668,99
MA (prof),448,843,1,937,1294,9,929,873,6,979,808,5,1543,1645,10
MA (acad),520,461,9,1123,643,21,1010,477,14,857,399,12,1324,795,17
MA (both),104,128,2,237,217,3,293,153,3,314,206,1,489,385,0
Subtotal MA,1072,1432,12,2297,2154,33,2232,1503,23,2150,1413,18,3356,2825,27
ThM/STM,15,9,0,160,39,4,215,35,1,195,29,2,238,42,4
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,7,4,0,151,41,0,489,99,1,960,197,9,2659,689,12
Other Prof Dr,0,2,0,24,18,0,68,42,0,127,47,0,287,164,0
"Subtotal DMin and
Other Prof Dr",7,6,0,175,59,0,557,141,1,1087,244,9,2946,853,12
PhD/ThD,16,10,0,267,101,1,578,166,1,640,171,6,962,274,11
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,223,159,3,255,184,7,325,166,6,398,219,4,712,504,26
Total,3844,2377,33,7817,3727,93,6953,2810,75,6827,2885,110,11344,6166,179
,50 - 64,,,65 and Over,,,Not Reported,,,,Total,,,,Grand
,M,F,O,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,,,
MDiv,2112,1736,51,329,305,3,98,58,0,225,18246,7326,333,225,26130
MA (prof),1281,1552,8,200,215,1,60,60,1,57,6377,7290,41,57,13765
MA (acad),1231,889,12,285,218,0,82,49,2,18,6432,3931,87,18,10468
MA (both),459,433,0,115,100,0,22,15,0,77,2033,1637,9,77,3756
Subtotal MA,2971,2874,20,600,533,1,164,124,3,152,14842,12858,137,152,27989
ThM/STM,150,52,4,24,18,2,41,1,0,7,1038,225,17,7,1287
Doctoral Degree Programs,,,,,,,,,,,,,,,
DMin,2446,1144,9,425,380,0,105,29,4,51,7242,2583,35,51,9911
Other Prof Dr,302,230,0,63,52,0,5,2,0,3,876,557,0,3,1436
"Subtotal DMin and
Other Prof Dr",2748,1374,9,488,432,0,110,31,4,54,8118,3140,35,54,11347
PhD/ThD,616,208,2,101,36,0,10,10,1,10,3190,976,22,10,4198
Non-Degree Programs,,,,,,,,,,,,,,,
NonDegree,685,633,15,202,213,5,128,70,15,196,2928,2148,81,196,5353
Total,9282,6877,101,1744,1537,11,551,294,23,644,48362,26673,625,644,76304
"Data on age/enrollment are only collected in odd-numbered years. Data shown here are from the school year beginning in Fall
Gender legend: Male (M), Female (F), Other known (O), Unknown (U), see appendix for further definition.",,,,,,,,,,,,,,,
