col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2023,2024
Charlotte Theological Seminary,n/a,Associate
Christ School of Theology of the Institute of Lutheran Theology,Associate,Accredited
Clamp Divinity School at Anderson University,n/a,Associate
Crown College Graduate School of Ministry,Associate,Accredited
Dickerson-Green Theological Seminary of Allen University,Associate,Accredited
Indianapolis Theological Seminary,n/a,Associate
Life Pacific University Seminary,n/a,Associate
"Logsdon Seminary of Logsdon School of Theology of Hardin-Simmons
University",Accredited,Withdrawn
New York Theological Seminary,Accredited,Withdrawn
Northwest University College of Ministry Graduate Studies,n/a,Associate
Pacific Theological Seminary,n/a,Associate
Queen's College Faculty of Theology,Associate,Withdrawn
Saint Sophia Ukrainian Orthodox Theological Seminary,Associate,Accredited
Seminario Teológico de Puerto Rico,n/a,Associate
Stark Seminary of Stark College and Seminary,n/a,Associate
The Master's Seminary,Associate,Accredited
Trinity Graduate School at Trinity Bible College,n/a,Associate
University of Dayton Department of Religious Studies,n/a,Associate
Wisconsin Lutheran Seminary,Associate,Accredited
