Table 2.2 Head Count Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,275,30455,27267,1250,10332,3939,73243,4348,77591
2021,272,29100,27590,1333,11235,4017,73275,4746,78021
2022,280,27709,27796,1315,11702,4113,72635,4694,77329
2023,274,26143,28024,1288,11307,4198,70960,5203,76163
2024,281,26082,29440,1183,11494,4471,72670,6345,79015
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,237,28941,25117,1159,10068,3678,68963,3562,72525
2021,235,27664,25587,1172,10954,3773,69150,3966,73116
2022,243,26378,25924,1165,11434,3879,68780,4006,72786
2023,237,24850,26091,1132,11002,3968,67043,4455,71498
2024,245,24773,27400,1059,11199,4243,68674,5518,74192
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,38,1514,2150,91,264,261,4280,786,5066
2021,37,1436,2003,161,281,244,4125,780,4905
2022,37,1331,1872,150,268,234,3855,688,4543
2023,37,1293,1933,156,305,230,3917,748,4665
2024,36,1309,2040,124,295,228,3996,827,4823
Table 2.2 reports fall head count enrollment over a five-year period.,,,,,,,,,
