All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Graduate Studies,,,
Number,4,4,17
Average Salary,-,-,82365
Median Salary,-,-,85446
Average Salary and Housing,-,-,82365
Average Benefits,-,-,12853
Average Pension,-,-,4577
Total Average,-,-,99795
25th percentile,-,-,76495
Median,-,-,103173
75th percentile,-,-,119239
Director of Housing/Student Life,,,
Number,5,3,6
Average Salary,79392,-,73990
Median Salary,76016,-,63860
Average Salary and Housing,79392,-,73990
Average Benefits,2251,-,15776
Average Pension,2157,-,5559
Total Average,83801,-,95325
25th percentile,37682,-,64011
Median,76016,-,65480
75th percentile,96000,-,143545
Director of IT,,,
Number,20,28,29
Average Salary,88039,84650,104776
Median Salary,83044,76152,100985
Average Salary and Housing,88039,84650,104776
Average Benefits,13581,13264,15516
Average Pension,7559,7081,9260
Total Average,109178,104995,129552
25th percentile,78544,82010,104745
Median,98483,101438,128885
75th percentile,127456,114481,149886
